file,r,trait,mode,rand,cv
akw_add_ran10_cv1.ghatREL1,0.457955129732054,akw,add,10,1
akw_add_ran10_cv2.ghatREL1,0.709797920943584,akw,add,10,2
akw_add_ran10_cv3.ghatREL1,0.779443826395881,akw,add,10,3
akw_add_ran10_cv4.ghatREL1,0.773239851870412,akw,add,10,4
akw_add_ran10_cv5.ghatREL1,0.774627325983073,akw,add,10,5
akw_add_ran11_cv1.ghatREL1,0.612080599157379,akw,add,11,1
akw_add_ran11_cv2.ghatREL1,0.814766391551308,akw,add,11,2
akw_add_ran11_cv3.ghatREL1,0.720069944988422,akw,add,11,3
akw_add_ran11_cv4.ghatREL1,0.746070349718721,akw,add,11,4
akw_add_ran11_cv5.ghatREL1,0.567454948806874,akw,add,11,5
akw_add_ran12_cv1.ghatREL1,0.647612766806049,akw,add,12,1
akw_add_ran12_cv2.ghatREL1,0.64105155432995,akw,add,12,2
akw_add_ran12_cv3.ghatREL1,0.758098961057181,akw,add,12,3
akw_add_ran12_cv4.ghatREL1,0.700444130611025,akw,add,12,4
akw_add_ran12_cv5.ghatREL1,0.609909368198907,akw,add,12,5
akw_add_ran13_cv1.ghatREL1,0.658270794106568,akw,add,13,1
akw_add_ran13_cv2.ghatREL1,0.671769559813408,akw,add,13,2
akw_add_ran13_cv3.ghatREL1,0.78569876291463,akw,add,13,3
akw_add_ran13_cv4.ghatREL1,0.720736168342962,akw,add,13,4
akw_add_ran13_cv5.ghatREL1,0.585186122540734,akw,add,13,5
akw_add_ran14_cv1.ghatREL1,0.774144518993076,akw,add,14,1
akw_add_ran14_cv2.ghatREL1,0.470892141408676,akw,add,14,2
akw_add_ran14_cv3.ghatREL1,0.565643910005125,akw,add,14,3
akw_add_ran14_cv4.ghatREL1,0.681924625580778,akw,add,14,4
akw_add_ran14_cv5.ghatREL1,0.850650660288356,akw,add,14,5
akw_add_ran15_cv1.ghatREL1,0.624433272309074,akw,add,15,1
akw_add_ran15_cv2.ghatREL1,0.810115500481366,akw,add,15,2
akw_add_ran15_cv3.ghatREL1,0.860532194886994,akw,add,15,3
akw_add_ran15_cv4.ghatREL1,0.442049902688777,akw,add,15,4
akw_add_ran15_cv5.ghatREL1,0.446509896914226,akw,add,15,5
akw_add_ran16_cv1.ghatREL1,0.789302861289533,akw,add,16,1
akw_add_ran16_cv2.ghatREL1,0.710182278441598,akw,add,16,2
akw_add_ran16_cv3.ghatREL1,0.72681308198852,akw,add,16,3
akw_add_ran16_cv4.ghatREL1,0.345695341760721,akw,add,16,4
akw_add_ran16_cv5.ghatREL1,0.773248060119439,akw,add,16,5
akw_add_ran17_cv1.ghatREL1,0.728267584283142,akw,add,17,1
akw_add_ran17_cv2.ghatREL1,0.574864634471912,akw,add,17,2
akw_add_ran17_cv3.ghatREL1,0.675004657042051,akw,add,17,3
akw_add_ran17_cv4.ghatREL1,0.76140017438127,akw,add,17,4
akw_add_ran17_cv5.ghatREL1,0.398436873837792,akw,add,17,5
akw_add_ran18_cv1.ghatREL1,0.728796379958786,akw,add,18,1
akw_add_ran18_cv2.ghatREL1,0.780369596982025,akw,add,18,2
