p2,p1,Genotype,value,trait,pop,FID,p1t,p2t,HPH,pHPH,MPH,pMPH
Z002,Z001,Z001xZ002,16.5650417744151,KRN,Diallel,Z000,12.9227469769789,13.4044303420816,3.1606114323335,0.235788567785021,3.6422947974362,0.281851436379953
Z002,Z002,Z002xZ002,16.7507280444453,KRN,Diallel,Z000,13.4044303420816,13.4044303420816,3.3462977023637,0.249641172132351,3.3462977023637,0.249641172132351
Z003,Z001,Z001xZ003,15.3333333333335,KRN,Diallel,Z000,12.9227469769789,11.922231459627,2.4105863563546,0.186538230660162,2.4105863563546,0.186538230660162
Z003,Z002,Z002xZ003,14.4960316869271,KRN,Diallel,Z000,13.4044303420816,11.922231459627,1.0916013448455,0.0814358623968188,1.0916013448455,0.0814358623968188
Z005,Z001,Z001xZ005,13.9999999999999,KRN,Diallel,Z000,12.9227469769789,10.9061972369239,1.077253023021,0.0833609932114327,1.077253023021,0.0833609932114327
Z005,Z002,Z002xZ005,13.9999999999999,KRN,Diallel,Z000,13.4044303420816,10.9061972369239,0.595569657918301,0.0444308070331479,0.595569657918301,0.0444308070331479
Z006,Z001,Z001xZ006,16.4444444444443,KRN,Diallel,Z000,12.9227469769789,14.9416132974878,1.5028311469565,0.10058024639208,3.5216974674654,0.272519261867395
Z006,Z002,Z002xZ006,14.888888888889,KRN,Diallel,Z000,13.4044303420816,14.9416132974878,-0.0527244085988006,-0.0035286958341818,1.4844585468074,0.11074387414638
Z006,Z005,Z005xZ006,15.2222222222223,KRN,Diallel,Z000,10.9061972369239,14.9416132974878,0.2806089247345,0.0187803632143043,4.3160249852984,0.395740595144026
Z006,Z003,Z003xZ006,15.5555555555554,KRN,Diallel,Z000,11.922231459627,14.9416132974878,0.613942258067601,0.0410894222627771,3.6333240959284,0.304752017961751
Z007,Z005,Z005xZ007,12.6666666666667,KRN,Diallel,Z000,10.9061972369239,11.6054664000798,1.0612002665869,0.0914396914353742,1.7604694297428,0.16141918136072
Z007,Z006,Z006xZ007,14.0000000000001,KRN,Diallel,Z000,14.9416132974878,11.6054664000798,-0.941613297487701,-0.0630195199634847,-0.941613297487701,-0.0630195199634847
Z007,Z003,Z003xZ007,13.1111111111112,KRN,Diallel,Z000,11.922231459627,11.6054664000798,1.1888796514842,0.0997195579963514,1.1888796514842,0.0997195579963514
Z007,Z002,Z002xZ007,14.2222222222223,KRN,Diallel,Z000,13.4044303420816,11.6054664000798,0.8177918801407,0.0610090738114652,0.8177918801407,0.0610090738114652
Z008,Z005,Z005xZ008,12.0000000000002,KRN,Diallel,Z000,10.9061972369239,9.96923666854619,1.0938027630763,0.100291856025961,1.0938027630763,0.100291856025961
Z008,Z006,Z006xZ008,13.5555555555556,KRN,Diallel,Z000,14.9416132974878,9.96923666854619,-1.3860577419322,-0.0927649320281394,-1.3860577419322,-0.0927649320281394
Z008,Z007,Z007xZ008,12.8888888888889,KRN,Diallel,Z000,11.6054664000798,9.96923666854619,1.2834224888091,0.110587756197396,1.2834224888091,0.110587756197396
Z008,Z003,Z003xZ008,11.3333333333333,KRN,Diallel,Z000,11.922231459627,9.96923666854619,-0.588898126293699,-0.0493949583421461,-0.588898126293699,-0.0493949583421461
Z009,Z008,Z008xZ009,11.5555555555554,KRN,Diallel,Z000,9.96923666854619,11.0519916761264,0.503563879429,0.0455631793965931,1.58631888700921,0.15912139913522
Z009,Z003,Z003xZ009,13.6507934143752,KRN,Diallel,Z000,11.922231459627,11.0519916761264,1.7285619547482,0.144986444911906,1.7285619547482,0.144986444911906
Z009,Z006,Z006xZ009,15.2483798656862,KRN,Diallel,Z000,14.9416132974878,11.0519916761264,0.3067665681984,0.0205310204521207,0.3067665681984,0.0205310204521207
Z009,Z005,Z005xZ009,12.6666666666666,KRN,Diallel,Z000,10.9061972369239,11.0519916761264,1.6146749905402,0.146098100492429,1.7604694297427,0.161419181360711
Z010,Z006,Z006xZ010,15.7777777777778,KRN,Diallel,Z000,14.9416132974878,13.3653157821201,0.83616448029,0.0559621282951144,0.83616448029,0.0559621282951144
Z010,Z002,Z002xZ010,15.1111111111113,KRN,Diallel,Z000,13.4044303420816,13.3653157821201,1.7066807690297,0.12732214092469,1.7066807690297,0.12732214092469
Z010,Z001,Z001xZ010,14.4444444444445,KRN,Diallel,Z000,12.9227469769789,13.3653157821201,1.0791286623244,0.0807409776107229,1.5216974674656,0.117753405694348
Z010,Z007,Z007xZ010,13.7777777777778,KRN,Diallel,Z000,11.6054664000798,13.3653157821201,0.412461995657701,0.030860624797918,2.172311377698,0.187180015245494
Z010,Z003,Z003xZ010,14.0000000000001,KRN,Diallel,Z000,11.922231459627,13.3653157821201,0.63468421788,0.0474874090688579,2.0777685403731,0.174276816165596
Z011,Z003,Z003xZ011,14.9960316869271,KRN,Diallel,Z000,11.922231459627,13.1739599196765,1.8220717672506,0.138308585904317,3.0738002273001,0.25782088174593
Z011,Z002,Z002xZ011,16.2766438558333,KRN,Diallel,Z000,13.4044303420816,13.1739599196765,2.8722135137517,0.214273448438516,2.8722135137517,0.214273448438516
Z011,Z007,Z007xZ011,14.2222222222222,KRN,Diallel,Z000,11.6054664000798,13.1739599196765,1.0482623025457,0.0795707827363301,2.6167558221424,0.225476144769538
Z011,Z001,Z001xZ011,15.3333333333335,KRN,Diallel,Z000,12.9227469769789,13.1739599196765,2.159373413657,0.16391225013762,2.4105863563546,0.186538230660162
Z012,Z002,Z002xZ012,14.8888888888889,KRN,Diallel,Z000,13.4044303420816,11.7711384289474,1.4844585468073,0.110743874146372,1.4844585468073,0.110743874146372
Z012,Z009,Z009xZ012,12.6666666666667,KRN,Diallel,Z000,11.0519916761264,11.7711384289474,0.895528237719299,0.0760783031416086,1.6146749905403,0.146098100492438
Z012,Z007,Z007xZ012,12.4444444444444,KRN,Diallel,Z000,11.6054664000798,11.7711384289474,0.673306015496999,0.0571997364198195,0.8389780443646,0.0722916266733434
Z012,Z005,Z005xZ012,11.9981325585539,KRN,Diallel,Z000,10.9061972369239,11.7711384289474,0.226994129606499,0.0192839571955316,1.09193532163,0.100120628474713
Z012,Z001,Z001xZ012,15.4195009986905,KRN,Diallel,Z000,12.9227469769789,11.7711384289474,2.4967540217116,0.193206136911867,2.4967540217116,0.193206136911867
Z012,Z003,Z003xZ012,13.4960316869272,KRN,Diallel,Z000,11.922231459627,11.7711384289474,1.5738002273002,0.13200550858534,1.5738002273002,0.13200550858534
Z012,Z008,Z008xZ012,11.5555555555555,KRN,Diallel,Z000,9.96923666854619,11.7711384289474,-0.215582873391901,-0.0183145304673117,1.58631888700931,0.15912139913523
Z012,Z011,Z011xZ012,14.8888888888889,KRN,Diallel,Z000,13.1739599196765,11.7711384289474,1.7149289692124,0.130175663177098,1.7149289692124,0.130175663177098
Z012,Z006,Z006xZ012,15,KRN,Diallel,Z000,14.9416132974878,11.7711384289474,0.0583867025122,0.00390765718197357,0.0583867025122,0.00390765718197357
Z013,Z002,Z002xZ013,16.4444444444439,KRN,Diallel,Z000,13.4044303420816,12.0340596617674,3.0400141023623,0.226791741594459,3.0400141023623,0.226791741594459
Z013,Z005,Z005xZ013,14.2222222222222,KRN,Diallel,Z000,10.9061972369239,12.0340596617674,2.1881625604548,0.181830788774188,3.3160249852983,0.304049607141855
Z013,Z003,Z003xZ013,13.5007280444451,KRN,Diallel,Z000,11.922231459627,12.0340596617674,1.4666683826777,0.121876442688526,1.5784965848181,0.132399424567747
Z013,Z008,Z008xZ013,12.0029121777808,KRN,Diallel,Z000,9.96923666854619,12.0340596617674,-0.0311474839865991,-0.00258827734464003,2.03367550923461,0.20399510783519
Z013,Z006,Z006xZ013,16.4444444444444,KRN,Diallel,Z000,14.9416132974878,12.0340596617674,1.5028311469566,0.100580246392087,1.5028311469566,0.100580246392087
Z013,Z007,Z007xZ013,13.7777777777777,KRN,Diallel,Z000,11.6054664000798,12.0340596617674,1.7437181160103,0.14489857662499,2.1723113776979,0.187180015245485
Z013,Z012,Z012xZ013,12.233426676201,KRN,Diallel,Z000,11.7711384289474,12.0340596617674,0.199367014433601,0.0165668959633794,0.4622882472536,0.0392730278421285
