Genotype	pop	FID	CD	KRN	AKW	CL	CW	KC	TKW
B73xZ001E0002	BxRIL	Z001	27.3066666666686	17.0000000000002	0.285643257944608	169.450000000017	22.4783333333354	507.694170837983	146.35725996456
B73xZ001E0003	BxRIL	Z001	28.2850000000001	16	0.302556562000002	166.708333333334	29.0633333333329	464.833333333335	139.331666666667
B73xZ001E0004	BxRIL	Z001	27.3000000000001	17.9999999999999	0.280179875666668	176.138333333334	30.3166666666664	555.666666666667	156.09
B73xZ001E0006	BxRIL	Z001	25.5082021648797	14.9999999999998	0.304460550111481	142.53707603974	22.3713381891251	457.235427094923	137.000649911386
B73xZ001E0016	BxRIL	Z001	25.4066666666669	16	0.282130184500001	182.380000000001	26.4033333333335	578.833333333338	162.026666666668
B73xZ001E0030	BxRIL	Z001	26.4380054121993	16.9999999890553	0.24429081086148	173.992690099353	27.2358454728126	585.235427094924	141.133149911386
B73xZ001E0038	BxRIL	Z001	26.8850000000001	16.9999999999999	0.267844781000002	197.110000000003	29.2250000000005	609.999999999998	164
B73xZ001E0078	BxRIL	Z001	27.1683333333335	15.3333333333334	0.297744644744593	176.056666666668	26.6666666666668	468.29417083797	145.295259964555
B73xZ001E0101	BxRIL	Z001	27.3250000000001	15.9999999999999	0.304895349999999	176.271666666667	30.9933333333328	612.499999999994	185.466666666664
B73xZ001E0112	BxRIL	Z001	23.2875	15	0.299242484	127.927499999999	17.5849999999999	467.000000000005	137.165000000001
B73xZ001E0128	BxRIL	Z001	27.6400000000002	14.6666666666667	0.308167272000003	156.411666666667	25.2433333333335	462.666666666666	139.056666666667
B73xZ001E0151	BxRIL	Z001	27.2333333333335	16.9999999999999	0.373199956833341	178.318333333334	30.7566666666669	399.833333333329	139.093333333333
B73xZ001E0170	BxRIL	Z001	27.5650000000001	17.6666666666665	0.286751344111481	155.91	24.2283333333334	508.735427094923	146.528149911386
B73xZ001E0198	BxRIL	Z001	26.0455054121992	15.9999999781107	0.290110419611481	163.450190099353	25.8833454728129	445.985427094923	131.060649911386
