pop,pedigree,parent,zid
1,(B73_B97)S5,B97,Z001
2,(B73_CML103)S5,CML103,Z002
3,(B73_CML228)S5,CML228,Z003
4,(B73_CML247)S5,CML247,Z004
5,(B73_CML277)S5,CML277,Z005
6,(B73_CML322)S5,CML322,Z006
7,(B73_CML333)S5,CML333,Z007
8,(B73_CML52)S5,CML52,Z008
9,(B73_CML69)S5,CML69,Z009
10,(B73_Hp301)S5,Hp301,Z010
11,(B73_Il14H)S5,Il14H,Z011
12,(B73_Ki11)S5,Ki11,Z012
13,(B73_Ki3)S5,Ki3,Z013
14,(B73_Ky21)S5,Ky21,Z014
15,(B73_M162W)S5,M162W,Z015
16,(B73_M37W)S5,M37W,Z016
17,Mo17,Mo17,Z017
18,(B73_Mo18W)S5,Mo18W,Z018
19,(B73_MS71)S5,MS71,Z019
20,(B73_NC350)S5,NC350,Z020
21,(B73_NC358)S5,NC358,Z021
22,(B73_Oh43)S5,Oh43,Z022
23,(B73_Oh7B)S5,Oh7B,Z023
24,(B73_P39)S5,P39,Z024
25,(B73_Tx303)S5,Tx303,Z025
26,(B73_Tzi8)S5,Tzi8,Z026
