Genotype	AKW	Fix
B73xZ001	0.30752546516667	1
B73xZ002	0.364831503333336	1
B73xZ003	0.342694147111112	1
B73xZ005	0.356821186111114	1
B73xZ006	0.288511099000002	1
B73xZ007	0.388512710555556	1
B73xZ008	0.303742812119436	1
B73xZ009	0.337239396777779	1
B73xZ010	0.235612359000005	1
B73xZ011	0.350599020333335	1
B73xZ012	0.368071194333334	1
B73xZ013	0.373067769222224	1
B73xZ014	0.339832784222226	1
B73xZ016	0.304594151905659	1
B73xZ017	0.373670320864884	1
B73xZ018	0.307440200222224	1
B73xZ020	0.324953738000001	1
B73xZ021	0.277189458409673	1
B73xZ022	0.290452036333334	1
B73xZ023	0.316613424666669	1
B73xZ024	0.314663220683557	1
B73xZ025	0.35650477911111	1
B73xZ026	0.307121745000001	1
Z001xZ002	0.320209205514871	1
Z001xZ003	0.331768051666669	1
Z001xZ005	0.377236697555555	1
Z001xZ006	0.311333495111113	1
Z001xZ010	0.261406858777777	1
Z001xZ011	0.326182043	1
Z001xZ012	0.3791530534466	1
Z001xZ014	0.344463439062539	1
Z001xZ016	0.332270731333334	1
Z001xZ017	0.338701652555558	1
Z001xZ019	0.340301396944446	1
Z001xZ020	0.32885370238889	1
Z001xZ021	0.327032110444444	1
Z001xZ022	0.328133445777779	1
Z001xZ023	0.36074944388889	1
Z001xZ024	0.341755883333333	1
Z001xZ025	0.342491774427255	1
Z002xZ002	0.313966239002361	1
Z002xZ003	0.309856254516809	1
Z002xZ005	0.319321168666668	1
Z002xZ006	0.315838291833334	1
Z002xZ007	0.3531307975	1
Z002xZ010	0.282286406555556	1
Z002xZ011	0.369507098857512	1
Z002xZ012	0.340534081444446	1
Z002xZ013	0.315717020222232	1
Z002xZ014	0.356168161320386	1
Z002xZ015	0.374010321591947	1
Z002xZ016	0.342659551715027	1
Z002xZ017	0.391279883888889	1
Z002xZ019	0.373136101444449	1
Z002xZ020	0.308667221000001	1
Z002xZ021	0.337152384111112	1
Z002xZ022	0.353684320111114	1
Z002xZ024	0.34959395415675	1
Z002xZ025	0.315437358555557	1
Z002xZ026	0.287606547444446	1
Z003xZ006	0.262781836777779	1
Z003xZ007	0.277960849777778	1
Z003xZ008	0.20728850477778	1
Z003xZ009	0.295222438031547	1
Z003xZ010	0.241195438555557	1
Z003xZ011	0.352068196507888	1
Z003xZ012	0.338237327132889	1
Z003xZ013	0.235240882627359	1
Z003xZ015	0.342966464611112	1
Z003xZ021	0.293506779222223	1
Z003xZ022	0.315256107000001	1
Z003xZ026	0.270203653007887	1
Z005xZ006	0.239910912888889	1
Z005xZ007	0.276738744333335	1
Z005xZ008	0.194428199333331	1
Z005xZ009	0.271498377333333	1
Z005xZ012	0.256498109297828	1
Z005xZ013	0.287044182333335	1
Z005xZ014	0.345195236333331	1
Z005xZ015	0.320698991222222	1
Z005xZ016	0.258486186356654	1
Z005xZ017	0.392120691666667	1
Z005xZ018	0.254991723888891	1
Z005xZ019	0.394835436659302	1
Z005xZ020	0.281724220666667	1
Z005xZ022	0.361672283444445	1
Z005xZ024	0.392996674777777	1
Z005xZ025	0.311076262003712	1
Z005xZ026	0.226499112007889	1
Z006xZ007	0.309970418555556	1
Z006xZ008	0.278568929111112	1
Z006xZ009	0.316435716880125	1
Z006xZ010	0.234152354000002	1
Z006xZ012	0.284917958000001	1
Z006xZ013	0.29874052988889	1
Z006xZ014	0.332263631303744	1
Z006xZ015	0.317245896	1
Z006xZ017	0.349993535777779	1
Z006xZ018	0.286554742	1
Z006xZ019	0.27556602088889	1
Z006xZ021	0.279257048356654	1
Z006xZ022	0.266308181382887	1
Z006xZ024	0.330167324194934	1
Z006xZ025	0.28650894952459	1
Z006xZ026	0.245106974130126	1
Z007xZ008	0.266417680222223	1
Z007xZ010	0.251930315555555	1
Z007xZ011	0.378492151666667	1
Z007xZ012	0.301626828333335	1
Z007xZ013	0.330150366888889	1
Z007xZ014	0.374985995444446	1
Z007xZ015	0.3424740275	1
Z007xZ017	0.411184839777777	1
Z007xZ018	0.327928028444446	1
Z007xZ021	0.318048242111112	1
Z007xZ022	0.373937002222224	1
