Genotype	CD	Fix
B73xZ001	25.1888888888886	1
B73xZ002	26.2866666666665	1
B73xZ003	29.8955555555555	1
B73xZ005	30.2522222222223	1
B73xZ006	24.1966666666666	1
B73xZ007	26.9077777777777	1
B73xZ008	26.8187833093355	1
B73xZ009	27.2066666666667	1
B73xZ010	24.1500000000001	1
B73xZ011	26.296111111111	1
B73xZ012	30.7533333333334	1
B73xZ013	29.6677777777778	1
B73xZ014	30.1344444444444	1
B73xZ016	26.6111543150881	1
B73xZ017	25.8444702418218	1
B73xZ018	29.2744444444444	1
B73xZ020	26.2966666666666	1
B73xZ021	26.4650758937887	1
B73xZ022	26.8488888888887	1
B73xZ023	25.9955555555553	1
B73xZ024	25.5522222222221	1
B73xZ025	29.7633333333332	1
B73xZ026	29.3666666666664	1
Z001xZ002	28.2907480512817	1
Z001xZ003	28.4366666666666	1
Z001xZ005	28.0844444444443	1
Z001xZ006	26.2566666666665	1
Z001xZ010	22.4611111111111	1
Z001xZ011	25.9488888888889	1
Z001xZ012	28.0173163286599	1
Z001xZ014	27.3073886559005	1
Z001xZ016	25.9366666666665	1
Z001xZ017	23.3461111111111	1
Z001xZ019	24.6944444444444	1
Z001xZ020	25.0499999999999	1
Z001xZ021	26.7694444444444	1
Z001xZ022	25.2166666666665	1
Z001xZ023	25.3044444444444	1
Z001xZ024	24.1238888888888	1
Z001xZ025	27.0607176978343	1
Z002xZ002	27.5029564083768	1
Z002xZ003	27.1669508937888	1
Z002xZ005	32.1299999999996	1
Z002xZ006	27.2377777777776	1
Z002xZ007	28.6111111111111	1
Z002xZ010	23.6277777777777	1
Z002xZ011	28.13731632866	1
Z002xZ012	32.412222222222	1
Z002xZ013	30.306666666666	1
Z002xZ014	28.7769508937889	1
Z002xZ015	28.3577777777776	1
Z002xZ016	30.9349551892115	1
Z002xZ017	25.2611111111111	1
Z002xZ019	27.5255555555555	1
Z002xZ020	27.0388888888887	1
Z002xZ021	28.0449999999999	1
Z002xZ022	28.1088888888887	1
Z002xZ024	25.5447302534029	1
Z002xZ025	26.7044444444446	1
Z002xZ026	29.6411111111111	1
Z003xZ006	29.2477777777777	1
Z003xZ007	29.2499999999998	1
Z003xZ008	26.9466666666666	1
Z003xZ009	27.3644702418218	1
Z003xZ010	23.67	1
Z003xZ011	27.7419508937888	1
Z003xZ012	31.3669508937885	1
Z003xZ013	31.1842064083767	1
Z003xZ015	28.5905555555554	1
Z003xZ021	28.3477777777778	1
Z003xZ022	26.4722222222221	1
Z003xZ026	30.5269508937888	1
Z005xZ006	30.365	1
Z005xZ007	31.3988888888888	1
Z005xZ008	26.7599999999999	1
Z005xZ009	29.322222222222	1
Z005xZ012	32.5197415970772	1
Z005xZ013	30.5066666666663	1
Z005xZ014	30.6999999999997	1
Z005xZ015	30.2049999999999	1
Z005xZ016	27.9099999999999	1
Z005xZ017	28.0266666666667	1
Z005xZ018	33.7011111111111	1
Z005xZ019	29.8213406861175	1
