Genotype	CD	Fix	pop$	FID$
Z001E0001	25.3358150513653	1	NAMRIL	Z001
Z001E0002	26.9946644335047	1	NAMRIL	Z001
Z001E0003	28.4155555555536	1	NAMRIL	Z001
Z001E0004	25.7750217175321	1	NAMRIL	Z001
Z001E0005	29.5216877061134	1	NAMRIL	Z001
Z001E0006	25.9625925925923	1	NAMRIL	Z001
Z001E0007	28.4025250722989	1	NAMRIL	Z001
Z001E0008	24.7560965008695	1	NAMRIL	Z001
Z001E0009	27.1658150513743	1	NAMRIL	Z001
Z001E0010	23.6489536437269	1	NAMRIL	Z001
Z001E0011	26.2732393580121	1	NAMRIL	Z001
Z001E0012	27.0445650513744	1	NAMRIL	Z001
Z001E0013	25.1068107865834	1	NAMRIL	Z001
Z001E0014	29.560854372782	1	NAMRIL	Z001
Z001E0015	26.7631777982937	1	NAMRIL	Z001
Z001E0016	23.4582737015894	1	NAMRIL	Z001
Z001E0017	26.5803822151542	1	NAMRIL	Z001
Z001E0018	27.6751900513763	1	NAMRIL	Z001
Z001E0019	28.7668107865823	1	NAMRIL	Z001
Z001E0020	30.6758150513749	1	NAMRIL	Z001
Z001E0021	26.4975250722986	1	NAMRIL	Z001
Z001E0022	26.5270650513749	1	NAMRIL	Z001
Z001E0023	27.5283150513746	1	NAMRIL	Z001
Z001E0024	27.7075250722963	1	NAMRIL	Z001
Z001E0025	29.5413841998943	1	NAMRIL	Z001
Z001E0026	28.8262317176241	1	NAMRIL	Z001
Z001E0027	27.6995650513746	1	NAMRIL	Z001
Z001E0028	26.7380506216341	1	NAMRIL	Z001
Z001E0029	27.209808218829	1	NAMRIL	Z001
Z001E0030	25.6714556536311	1	NAMRIL	Z001
Z001E0031	28.1868871041744	1	NAMRIL	Z001
Z001E0032	27.379565051373	1	NAMRIL	Z001
Z001E0033	24.8421362794409	1	NAMRIL	Z001
Z001E0034	24.836810786585	1	NAMRIL	Z001
Z001E0035	26.3603822151562	1	NAMRIL	Z001
Z001E0036	26.3533150513749	1	NAMRIL	Z001
Z001E0037	28.695382215154	1	NAMRIL	Z001
Z001E0038	24.9436930577088	1	NAMRIL	Z001
Z001E0039	28.2720650513766	1	NAMRIL	Z001
Z001E0040	28.6874117114732	1	NAMRIL	Z001
Z001E0041	27.9196679294411	1	NAMRIL	Z001
Z001E0042	27.9752204375076	1	NAMRIL	Z001
Z001E0043	27.3789400513745	1	NAMRIL	Z001
Z001E0044	25.6096679294402	1	NAMRIL	Z001
Z001E0045	24.7033150513732	1	NAMRIL	Z001
Z001E0046	28.8357450448087	1	NAMRIL	Z001
Z001E0047	24.3958150513733	1	NAMRIL	Z001
Z001E0048	27.65485302023	1	NAMRIL	Z001
Z001E0049	26.2471667899937	1	NAMRIL	Z001
