Genotype	CL	Fix
B73xZ001	209.846666666667	1
B73xZ002	185.515555555555	1
B73xZ003	187.887777777776	1
B73xZ005	191.378888888888	1
B73xZ006	181.113333333332	1
B73xZ007	178.999999999999	1
B73xZ008	187.779314037898	1
B73xZ009	205.017777777777	1
B73xZ010	178.963333333335	1
B73xZ011	180.571666666665	1
B73xZ012	198.856666666666	1
B73xZ013	191.229999999998	1
B73xZ014	201.244444444444	1
B73xZ016	208.262560908965	1
B73xZ017	234.924076266665	1
B73xZ018	195.914444444444	1
B73xZ020	203.846666666665	1
B73xZ021	185.410185733334	1
B73xZ022	187.508333333333	1
B73xZ023	196.832222222221	1
B73xZ024	202.324999999999	1
B73xZ025	194.089999999999	1
B73xZ026	187.573333333332	1
Z001xZ002	209.224312328619	1
Z001xZ003	197.971111111111	1
Z001xZ005	226.166666666666	1
Z001xZ006	203.288888888888	1
Z001xZ010	185.465555555555	1
Z001xZ011	195.327777777777	1
Z001xZ012	235.698995961905	1
Z001xZ014	235.550675639214	1
Z001xZ016	221.185555555554	1
Z001xZ017	233.712777777777	1
Z001xZ019	201.342112647099	1
Z001xZ020	217.776666666666	1
Z001xZ021	204.259444444443	1
Z001xZ022	211.583877352981	1
Z001xZ023	195.314444444443	1
Z001xZ024	196.589171470628	1
Z001xZ025	192.48969989158	1
Z002xZ002	202.503239375085	1
Z002xZ003	204.958935733331	1
Z002xZ005	192.215555555556	1
Z002xZ006	184.333333333332	1
Z002xZ007	186.208333333332	1
Z002xZ010	211.505555555555	1
Z002xZ011	184.548995961904	1
Z002xZ012	227.202777777777	1
Z002xZ013	179.39777777777	1
Z002xZ014	214.848310733333	1
Z002xZ015	197.893888888888	1
Z002xZ016	237.762962244673	1
Z002xZ017	227.49111111111	1
Z002xZ019	205.717777777777	1
Z002xZ020	205.431111111111	1
Z002xZ021	178.895555555554	1
Z002xZ022	220.375555555555	1
Z002xZ024	208.947183000136	1
Z002xZ025	212.237777777777	1
Z002xZ026	183.592222222222	1
Z003xZ006	174.447777777778	1
Z003xZ007	180.956666666667	1
Z003xZ008	171.724444444443	1
Z003xZ009	174.760742933332	1
Z003xZ010	190.455555555556	1
Z003xZ011	193.653935733332	1
Z003xZ012	218.356435733332	1
Z003xZ013	188.233239375085	1
Z003xZ015	209.186666666667	1
Z003xZ021	195.559999999999	1
Z003xZ022	210.575555555555	1
Z003xZ026	195.267685733333	1
Z005xZ006	193.831111111111	1
Z005xZ007	194.692222222221	1
Z005xZ008	171.455555555556	1
Z005xZ009	210.702222222221	1
