Genotype	CW	Fix
B73xZ001	35.3408888888876	1
B73xZ002	33.6025555555556	1
B73xZ003	35.2244444444442	1
B73xZ005	50.0333333333336	1
B73xZ006	28.9788888888887	1
B73xZ007	34.4508888888885	1
B73xZ008	31.8607473156017	1
B73xZ009	37.0377777777777	1
B73xZ010	25.8541111111116	1
B73xZ011	27.7387777777777	1
B73xZ012	46.2463333333335	1
B73xZ013	46.0987777777781	1
B73xZ014	47.5133333333331	1
B73xZ016	36.7948669189275	1
B73xZ017	38.2991595580812	1
B73xZ018	32.3777777777775	1
B73xZ020	31.4122222222222	1
B73xZ021	29.4687065561869	1
B73xZ022	31.7468888888889	1
B73xZ023	30.9459999999997	1
B73xZ024	26.5638333333335	1
B73xZ025	38.2333333333332	1
B73xZ026	34.3355555555554	1
Z001xZ002	39.7603349495988	1
Z001xZ003	32.8245555555554	1
Z001xZ005	46.8744444444444	1
Z001xZ006	36.1275555555554	1
Z001xZ010	22.7951111111111	1
Z001xZ011	30.7408888888887	1
Z001xZ012	49.1573292712837	1
Z001xZ014	52.4399207323226	1
Z001xZ016	38.4427777777772	1
Z001xZ017	30.7929444444444	1
Z001xZ019	33.6466666666666	1
Z001xZ020	31.3340555555554	1
Z001xZ021	37.0038333333333	1
Z001xZ022	32.9123333333334	1
Z001xZ023	28.4336666666666	1
Z001xZ024	22.1547222222225	1
Z001xZ025	34.2810769505756	1
Z002xZ002	32.5782164932371	1
Z002xZ003	33.9235815561868	1
Z002xZ005	52.1385555555547	1
Z002xZ006	34.0974444444442	1
Z002xZ007	33.8642222222221	1
Z002xZ010	26.9512222222222	1
Z002xZ011	27.559043556999	1
Z002xZ012	50.4913888888884	1
Z002xZ013	39.0171111111101	1
Z002xZ014	46.8298940561873	1
Z002xZ015	36.7657222222219	1
Z002xZ016	50.5023456149624	1
Z002xZ017	37.6155555555557	1
Z002xZ019	42.9733333333332	1
Z002xZ020	30.8744444444441	1
Z002xZ021	35.8167222222219	1
Z002xZ022	37.8248888888885	1
Z002xZ024	30.0851463891797	1
Z002xZ025	31.5846666666666	1
Z002xZ026	36.7096666666666	1
Z003xZ006	28.1599999999998	1
Z003xZ007	32.4942222222221	1
Z003xZ008	27.3107777777777	1
Z003xZ009	27.2739928914146	1
Z003xZ010	25.1155555555558	1
Z003xZ011	30.9905815561867	1
Z003xZ012	51.5802065561866	1
Z003xZ013	46.4135914932369	1
Z003xZ015	37.0233333333332	1
Z003xZ021	32.8121111111109	1
Z003xZ022	29.3748888888888	1
Z003xZ026	35.7552065561869	1
Z005xZ006	54.2169444444444	1
Z005xZ007	52.4927777777776	1
Z005xZ008	33.1242222222221	1
Z005xZ009	46.799555555555	1
Z005xZ012	54.9936266146767	1
Z005xZ013	51.5605555555548	1
Z005xZ014	74.6540000000005	1
Z005xZ015	48.5339444444442	1
Z005xZ016	40.5728333333331	1
Z005xZ017	55.3700000000006	1
Z005xZ018	59.2148888888888	1
Z005xZ019	55.5215132494005	1
Z005xZ020	34.9597777777777	1
Z005xZ022	48.6577777777779	1
Z005xZ024	32.2292222222221	1
Z005xZ025	44.5796111111113	1
Z005xZ026	44.5752777777775	1
Z006xZ007	32.7094444444444	1
Z006xZ008	23.1826666666662	1
Z006xZ009	25.6840865247117	1
Z006xZ010	25.74	1
Z006xZ012	44.7511111111111	1
Z006xZ013	34.2444444444444	1
Z006xZ014	47.0831728074819	1
Z006xZ015	34.3871666666665	1
Z006xZ017	33.752222222222	1
Z006xZ018	33.9926666666665	1
Z006xZ019	32.4355555555555	1
Z006xZ021	36.7122736734996	1
Z006xZ022	29.7257065561871	1
Z006xZ024	23.8623465827335	1
Z006xZ025	35.2248597414473	1
Z006xZ026	32.863038379382	1
Z007xZ008	35.0936666666666	1
Z007xZ010	27.6	1
Z007xZ011	31.4744444444443	1
Z007xZ012	48.8688888888885	1
Z007xZ013	51.4885555555551	1
Z007xZ014	55.3222222222224	1
Z007xZ015	38.9736666666664	1
Z007xZ017	42.9266666666666	1
Z007xZ018	35.9866666666664	1
Z007xZ021	38.361611111111	1
Z007xZ022	47.1199999999999	1
Z007xZ023	32.9164999999999	1
Z007xZ024	28.2055555555556	1
Z007xZ025	36.3988888888888	1
Z007xZ026	37.1678269505757	1
Z008xZ009	16.8877777777776	1
Z008xZ012	39.2945555555554	1
Z008xZ013	25.017865972949	1
Z008xZ014	45.3222222222223	1
Z008xZ016	24.1809999999996	1
Z008xZ017	26.0522222222222	1
Z008xZ018	32.062111111111	1
Z008xZ020	20.5044444444447	1
Z008xZ023	34.8488888888887	1
Z008xZ025	32.701111111111	1
Z008xZ026	30.3650000000002	1
Z009xZ012	33.2258888888888	1
Z009xZ014	51.4891595580816	1
Z009xZ015	41.7339565561872	1
Z009xZ016	22.6524444444442	1
Z009xZ017	37.4777777777777	1
Z009xZ020	21.9208888888888	1
Z009xZ024	25.2466666666665	1
Z009xZ025	37.8694565561866	1
Z009xZ026	38.585831556187	1
Z010xZ016	31.1396666666664	1
Z010xZ017	29.5825914932369	1
Z010xZ020	20.3608888888887	1
Z010xZ021	26.303222222222	1
Z010xZ022	23.2988888888886	1
Z010xZ024	16.4002091273993	1
Z010xZ025	28.4466666666666	1
Z011xZ012	41.3935555555555	1
Z011xZ017	24.8808888888886	1
Z011xZ019	28.5322222222221	1
Z011xZ020	25.1854565561868	1
Z011xZ021	28.8077777777776	1
Z011xZ022	29.096591493237	1
Z012xZ013	51.782450144088	1
Z012xZ015	59.6836394505758	1
Z012xZ017	50.0900000000001	1
Z012xZ018	36.7971111111112	1
Z012xZ021	43.1213315561869	1
Z012xZ022	43.9352065561871	1
Z012xZ025	49.7199999999999	1
Z012xZ026	42.1929999999999	1
Z013xZ015	49.1145089676172	1
Z013xZ016	35.2061864141416	1
Z013xZ018	43.9833292712843	1
Z013xZ021	45.5033333333333	1
Z013xZ023	43.0659565561869	1
Z013xZ024	28.9409565561869	1
Z013xZ025	48.6561111111111	1
