Genotype	KC	Fix
B73xZ001	717.000000000018	1
B73xZ002	603.222222222223	1
B73xZ003	693.000000000007	1
B73xZ005	667.66666666667	1
B73xZ006	660.444444444444	1
B73xZ007	494.555555555569	1
B73xZ008	706.522082980026	1
B73xZ009	589.888888888884	1
B73xZ010	469.44444444447	1
B73xZ011	345.333333333324	1
B73xZ012	665.777777777786	1
B73xZ013	558.777777777784	1
B73xZ014	725.111111111106	1
B73xZ016	699.383799465936	1
B73xZ017	676.891803316267	1
B73xZ018	726.333333333337	1
B73xZ020	719.33333333334	1
B73xZ021	478.597087746839	1
B73xZ022	603.666666666664	1
B73xZ023	533	1
B73xZ024	447.38852458546	1
B73xZ025	805.777777777779	1
B73xZ026	751.222222222229	1
Z001xZ002	655.981423059642	1
Z001xZ003	643.88888888889	1
Z001xZ005	600.111111111118	1
Z001xZ006	608.888888888889	1
Z001xZ010	335.44444444444	1
Z001xZ011	564.666666666679	1
Z001xZ012	620.795316180715	1
Z001xZ014	706.869623919573	1
Z001xZ016	677.777777777774	1
Z001xZ017	588.333333333325	1
Z001xZ019	519.944444444451	1
Z001xZ020	569.388888888894	1
Z001xZ021	618.166666666676	1
Z001xZ022	501.555555555552	1
Z001xZ023	490.000000000003	1
Z001xZ024	296.444444444468	1
Z001xZ025	614.978411303761	1
Z002xZ002	596.923637867173	1
Z002xZ003	537.760302084557	1
Z002xZ005	618.111111111115	1
Z002xZ006	604.50000000001	1
Z002xZ007	413.111111111125	1
Z002xZ010	523.666666666667	1
Z002xZ011	359.99271936709	1
Z002xZ012	580.66666666667	1
Z002xZ013	478.333333333359	1
Z002xZ014	574.285450829074	1
Z002xZ015	577.634329801921	1
Z002xZ016	621.318772067479	1
Z002xZ017	601.888888888896	1
Z002xZ019	445.444444444437	1
Z002xZ020	552.000000000007	1
Z002xZ021	542.222222222227	1
Z002xZ022	526.888888888882	1
Z002xZ024	379.059861990386	1
Z002xZ025	517.999999999992	1
Z002xZ026	717.333333333336	1
Z003xZ006	545.888888888898	1
Z003xZ007	395.666666666659	1
Z003xZ008	244.888888888888	1
Z003xZ009	374.891803316267	1
Z003xZ010	555.222222222228	1
Z003xZ011	483.847950829071	1
Z003xZ012	552.47295082907	1
Z003xZ013	407.548637867168	1
Z003xZ015	627.277777777785	1
Z003xZ021	596.222222222233	1
Z003xZ022	609.111111111121	1
Z003xZ026	703.722950829071	1
Z005xZ006	516.444444444444	1
Z005xZ007	419.555555555567	1
Z005xZ008	224.666666666659	1
Z005xZ009	433.888888888892	1
Z005xZ012	383.516682743081	1
Z005xZ013	623.666666666665	1
Z005xZ014	558.000000000016	1
Z005xZ015	666.72222222223	1
Z005xZ016	401.163741566622	1
Z005xZ017	724.444444444447	1
Z005xZ018	409.33333333335	1
Z005xZ019	662.600916050808	1
Z005xZ020	458.666666666668	1
Z005xZ022	655.333333333339	1
Z005xZ024	366.888888888902	1
Z005xZ025	546.104918037212	1
Z005xZ026	460.472950829079	1
Z006xZ007	429.166666666668	1
Z006xZ008	357.55555555556	1
Z006xZ009	331.635794348127	1
Z006xZ010	609.111111111116	1
Z006xZ012	392.333333333338	1
Z006xZ013	540.444444444451	1
Z006xZ014	644.366744752154	1
Z006xZ015	631.166666666676	1
Z006xZ017	623.777777777786	1
Z006xZ018	595.222222222224	1
Z006xZ019	698.22222222223	1
Z006xZ021	606.516682743097	1
Z006xZ022	691.722950829071	1
Z006xZ024	410.998919848442	1
Z006xZ025	715.166311201776	1
Z006xZ026	671.135794348115	1
Z007xZ008	310.777777777781	1
Z007xZ010	399.666666666669	1
Z007xZ011	396.555555555561	1
Z007xZ012	346.555555555558	1
Z007xZ013	436.888888888902	1
Z007xZ014	530.222222222229	1
Z007xZ015	553.944444444453	1
Z007xZ017	541.111111111121	1
Z007xZ018	374.44444444444	1
Z007xZ021	477.77777777778	1
Z007xZ022	551.888888888891	1
Z007xZ023	395.777777777781	1
Z007xZ024	341.66666666667	1
Z007xZ025	503.444444444452	1
Z007xZ026	437.853411303767	1
Z008xZ009	133.073031248808	1
Z008xZ012	270.96831512498	1
Z008xZ013	307.694551468689	1
Z008xZ014	622.66666666667	1
Z008xZ016	262.423637867168	1
Z008xZ017	552.111111111117	1
Z008xZ018	418.111111111112	1
Z008xZ020	299.682600839262	1
Z008xZ023	478.555555555567	1
Z008xZ025	486.555555555561	1
Z008xZ026	376.333333333335	1
Z009xZ012	276.847950829076	1
Z009xZ014	547.89180331627	1
Z009xZ015	487.972950829074	1
Z009xZ016	269.111111111109	1
Z009xZ017	531.666666666677	1
Z009xZ020	317.333333333339	1
Z009xZ024	384.777777777781	1
Z009xZ025	513.666666666673	1
Z009xZ026	513.847950829074	1
Z010xZ016	531.000000000005	1
Z010xZ017	675.555555555563	1
Z010xZ020	503.444444444454	1
Z010xZ021	585.22222222223	1
Z010xZ022	421.66666666667	1
Z010xZ024	253.396886553532	1
Z010xZ025	605.444444444448	1
Z011xZ012	515.000000000004	1
Z011xZ017	364.333333333336	1
Z011xZ019	378.777777777787	1
Z011xZ020	403.722950829072	1
Z011xZ021	441.000000000006	1
Z011xZ022	483.611137867179	1
Z012xZ013	409.046094507802	1
Z012xZ015	615.290911303768	1
Z012xZ017	593.777777777784	1
Z012xZ018	316.603411303779	1
Z012xZ021	512.847950829069	1
Z012xZ022	573.222950829073	1
Z012xZ025	536.333333333337	1
Z012xZ026	551.472950829076	1
Z013xZ015	605.751976860747	1
Z013xZ016	428.081030466442	1
Z013xZ018	548.509601895019	1
Z013xZ021	596.777777777786	1
Z013xZ023	373.847950829078	1
Z013xZ024	328.881815652846	1
Z013xZ025	571.722222222229	1
Z013xZ026	608.611111111132	1
Z014xZ016	694.16108970627	1
Z014xZ017	674.347950829073	1
Z014xZ019	578.222222222228	1
Z014xZ020	663.490054659846	1
Z014xZ021	632.928447448977	1
Z014xZ022	684.555555555562	1
Z014xZ023	528.666666666676	1
Z014xZ024	464.222222222229	1
Z014xZ025	707.92844744898	1
Z014xZ026	762.899083949202	1
Z015xZ015	58.6108970627174	1
Z015xZ018	674.666666666673	1
Z015xZ020	600.444444444451	1
Z015xZ021	475.666666666678	1
Z015xZ023	576.111111111117	1
Z015xZ025	726.222222222229	1
Z015xZ026	658.201832101617	1
Z016xZ017	545.444444444448	1
Z016xZ018	412.222222222229	1
Z016xZ019	636.611111111117	1
Z016xZ020	382.166666666673	1
Z016xZ021	534.000000000005	1
Z016xZ022	533.938173323587	1
Z016xZ023	506.555555555563	1
Z016xZ024	245.048637867173	1
Z016xZ025	685.111111111117	1
Z016xZ026	616.166666666672	1
Z017xZ020	607.167529938567	1
Z017xZ021	576.888888888896	1
Z017xZ022	509.500000000006	1
Z017xZ023	544.555555555562	1
Z017xZ024	437.94444444445	1
Z017xZ025	731.333333333339	1
Z018xZ020	521.555555555561	1
Z018xZ026	514.014561265865	1
Z019xZ021	529.277777777784	1
Z019xZ022	515.222222222228	1
Z019xZ024	336.423637867176	1
Z020xZ021	497.266666666673	1
Z020xZ022	542.117270956994	1
Z020xZ023	465.000000000006	1
Z020xZ024	194.310387081425	1
Z020xZ025	561.861089706272	1
Z020xZ026	619.111111111117	1
Z021xZ021	275.225136649602	1
Z021xZ022	556.777777777784	1
Z021xZ024	409.825457982111	1
Z021xZ025	595.33333333334	1
Z022xZ023	448.444444444451	1
Z022xZ024	341.277884802021	1
Z023xZ023	173.426968751218	1
Z023xZ025	516.777777777784	1
Z023xZ026	552.94444444445	1
Z024xZ025	431.33333333334	1
Z024xZ026	549.888888888896	1
Z025xZ026	721.222222222229	1
