Genotype	KRN	Fix
B73xZ001	17.3333333333335	1
B73xZ002	15.7777777777779	1
B73xZ003	15.7777777777777	1
B73xZ005	16.0000000000002	1
B73xZ006	16.6666666666666	1
B73xZ007	14.4444444444443	1
B73xZ008	15.7216920425778	1
B73xZ009	15.1111111111112	1
B73xZ010	17.1111111111111	1
B73xZ011	15.6666666666666	1
B73xZ012	16.2222222222224	1
B73xZ013	15.7777777777778	1
B73xZ014	15.5555555555557	1
B73xZ016	15.2716682989887	1
B73xZ017	15.9841267477084	1
B73xZ018	18.2222222222221	1
B73xZ020	16.4444444444445	1
B73xZ021	15.9960316869271	1
B73xZ022	17.7777777777777	1
B73xZ023	18.0000000000001	1
B73xZ024	14.5555555555555	1
B73xZ025	16.8888888888889	1
B73xZ026	17.9999999999999	1
Z001xZ002	16.5650417744151	1
Z001xZ003	15.3333333333335	1
Z001xZ005	13.9999999999999	1
Z001xZ006	16.4444444444443	1
Z001xZ010	14.4444444444445	1
Z001xZ011	15.3333333333335	1
Z001xZ012	15.4195009986905	1
Z001xZ014	14.2222222222221	1
Z001xZ016	16.4444444444445	1
Z001xZ017	13.9999999999998	1
Z001xZ019	16.8888888888889	1
Z001xZ020	16.4444444444444	1
Z001xZ021	15.4444444444446	1
Z001xZ022	16.6666666666666	1
Z001xZ023	16.8888888888888	1
Z001xZ024	13.3333333333333	1
Z001xZ025	15.1282402686276	1
Z002xZ002	16.7507280444453	1
Z002xZ003	14.4960316869271	1
Z002xZ005	13.9999999999999	1
Z002xZ006	14.888888888889	1
Z002xZ007	14.2222222222223	1
Z002xZ010	15.1111111111113	1
Z002xZ011	16.2766438558333	1
Z002xZ012	14.8888888888889	1
Z002xZ013	16.4444444444439	1
Z002xZ014	13.746031686927	1
Z002xZ015	14.5555555555556	1
Z002xZ016	14.6474437821318	1
Z002xZ017	13.5555555555555	1
Z002xZ019	16.8888888888889	1
Z002xZ020	15.7777777777778	1
Z002xZ021	14.3333333333334	1
Z002xZ022	16	1
Z002xZ024	15.3344982044456	1
Z002xZ025	15.7777777777777	1
Z002xZ026	16.6666666666667	1
Z003xZ006	15.5555555555554	1
Z003xZ007	13.1111111111112	1
Z003xZ008	11.3333333333333	1
Z003xZ009	13.6507934143752	1
Z003xZ010	14.0000000000001	1
Z003xZ011	14.9960316869271	1
Z003xZ012	13.4960316869272	1
Z003xZ013	13.5007280444451	1
Z003xZ015	13.5555555555554	1
Z003xZ021	14.0000000000001	1
Z003xZ022	16.0000000000001	1
Z003xZ026	15.9960316869271	1
Z005xZ006	15.2222222222223	1
Z005xZ007	12.6666666666667	1
Z005xZ008	12.0000000000002	1
Z005xZ009	12.6666666666666	1
Z005xZ012	11.9981325585539	1
Z005xZ013	14.2222222222222	1
Z005xZ014	11.9999999999997	1
Z005xZ015	14.6666666666666	1
Z005xZ016	12.4444444444446	1
Z005xZ017	13.5555555555556	1
Z005xZ018	13.7777777777777	1
Z005xZ019	16.6729284766908	1
Z005xZ020	13.3333333333333	1
Z005xZ022	14.2222222222222	1
Z005xZ024	13.7777777777778	1
Z005xZ025	14.3333333333333	1
Z005xZ026	13.8888888888888	1
Z006xZ007	14.0000000000001	1
Z006xZ008	13.5555555555556	1
Z006xZ009	15.2483798656862	1
Z006xZ010	15.7777777777778	1
Z006xZ012	15	1
Z006xZ013	16.4444444444444	1
Z006xZ014	13.4195009986904	1
Z006xZ015	16	1
Z006xZ017	14.8888888888888	1
Z006xZ018	17.3333333333333	1
Z006xZ019	18.8888888888888	1
Z006xZ021	15.1746031467892	1
Z006xZ022	16.4960316869272	1
Z006xZ024	14.0062618100242	1
Z006xZ025	16.9427013028836	1
Z006xZ026	17.5275443232599	1
Z007xZ008	12.8888888888889	1
Z007xZ010	13.7777777777778	1
Z007xZ011	14.2222222222222	1
Z007xZ012	12.4444444444444	1
Z007xZ013	13.7777777777777	1
Z007xZ014	12.2222222222224	1
Z007xZ015	14.2222222222222	1
Z007xZ017	14.6666666666667	1
Z007xZ018	14	1
Z007xZ021	13.7777777777778	1
Z007xZ022	15.3333333333334	1
Z007xZ023	15	1
Z007xZ024	13.3333333333332	1
Z007xZ025	14.4444444444444	1
Z007xZ026	14.5032402686277	1
Z008xZ009	11.5555555555554	1
