Genotype	TKW	Fix	pop$	FID$
Z001E0001	54.6604652026781	1	NAMRIL	Z001
Z001E0002	53.9396260910338	1	NAMRIL	Z001
Z001E0003	55.2817241964981	1	NAMRIL	Z001
Z001E0004	79.6630710921138	1	NAMRIL	Z001
Z001E0005	65.9942450634049	1	NAMRIL	Z001
Z001E0006	89.5066666666397	1	NAMRIL	Z001
Z001E0007	72.7338243545762	1	NAMRIL	Z001
Z001E0008	47.4252529259963	1	NAMRIL	Z001
Z001E0009	62.0985991964982	1	NAMRIL	Z001
Z001E0010	80.6188243545722	1	NAMRIL	Z001
Z001E0011	84.1745386402907	1	NAMRIL	Z001
Z001E0012	76.7346260909981	1	NAMRIL	Z001
Z001E0013	73.0273957831393	1	NAMRIL	Z001
Z001E0014	78.7267450634194	1	NAMRIL	Z001
Z001E0015	59.5522982230646	1	NAMRIL	Z001
Z001E0016	53.8841195898854	1	NAMRIL	Z001
Z001E0017	91.7295386402956	1	NAMRIL	Z001
Z001E0018	66.5617241964955	1	NAMRIL	Z001
Z001E0019	64.5164434016958	1	NAMRIL	Z001
Z001E0020	72.7273491964977	1	NAMRIL	Z001
Z001E0021	52.4073957831406	1	NAMRIL	Z001
Z001E0022	94.8135991965037	1	NAMRIL	Z001
Z001E0023	73.904224196495	1	NAMRIL	Z001
Z001E0024	58.1409672117119	1	NAMRIL	Z001
Z001E0025	63.3982982230714	1	NAMRIL	Z001
Z001E0026	77.2492241965125	1	NAMRIL	Z001
Z001E0027	51.9774990672071	1	NAMRIL	Z001
Z001E0028	61.2507143403978	1	NAMRIL	Z001
Z001E0029	73.9630915249153	1	NAMRIL	Z001
Z001E0030	71.6148568064017	1	NAMRIL	Z001
Z001E0031	69.2179845597892	1	NAMRIL	Z001
Z001E0032	72.5904741964983	1	NAMRIL	Z001
Z001E0033	63.6392760563571	1	NAMRIL	Z001
Z001E0034	67.2660991965006	1	NAMRIL	Z001
Z001E0035	74.9738243545598	1	NAMRIL	Z001
Z001E0036	71.3735991965021	1	NAMRIL	Z001
Z001E0037	84.3995386402878	1	NAMRIL	Z001
Z001E0038	69.8521661375449	1	NAMRIL	Z001
Z001E0039	57.3496419243556	1	NAMRIL	Z001
Z001E0040	85.6646318694557	1	NAMRIL	Z001
Z001E0041	84.0192241964915	1	NAMRIL	Z001
Z001E0042	52.8545678730835	1	NAMRIL	Z001
Z001E0043	76.5296419243724	1	NAMRIL	Z001
Z001E0044	71.5402529260071	1	NAMRIL	Z001
Z001E0045	75.5823491964951	1	NAMRIL	Z001
Z001E0046	64.6187985361425	1	NAMRIL	Z001
Z001E0047	55.0467241964963	1	NAMRIL	Z001
Z001E0048	67.183213352932	1	NAMRIL	Z001
Z001E0049	75.7506329040845	1	NAMRIL	Z001
Z001E0050	68.2952529259837	1	NAMRIL	Z001
Z001E0051	69.4252529259961	1	NAMRIL	Z001
Z001E0052	64.189224196499	1	NAMRIL	Z001
Z001E0053	76.9567241964891	1	NAMRIL	Z001
Z001E0054	64.6648491964992	1	NAMRIL	Z001
Z001E0055	81.1004741965041	1	NAMRIL	Z001
Z001E0056	73.6185991964949	1	NAMRIL	Z001
Z001E0057	81.8174990672084	1	NAMRIL	Z001
Z001E0058	62.7839118052748	1	NAMRIL	Z001
Z001E0059	52.5587985361377	1	NAMRIL	Z001
