I,Row,Pedigree,Genotype,FBNote,Farm
JLY,1329,10g-1317-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1330,10g-1316-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1331,10g-1314-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1332,10g-1312-8@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1333,10g-1311-4@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1334,10g-1309-9@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1335,10g-1308-8@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1336,10g-1307-9@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1337,10g-1305-3@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1338,10g-1304-3@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1339,10g-1303-9@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1340,10g-1302-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1341,10g-1300-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1342,10g-1299-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1343,10g-1298-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1344,10g-1297-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1345,10g-1296-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1346,10g-1295-11@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1347,10g-1294-11@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1348,10g-1293-9@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1349,10g-1292-9@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1350,10g-1288-9@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1351,10g-1287-11@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1352,10g-1285-4@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1353,10g-1283-4@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1354,10g-1282-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1355,10g-1281-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1356,10g-1280-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1357,10g-1279-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1358,10g-1278-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1359,10g-1277-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1360,10g-1276-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1361,10g-1275-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1362,10g-1274-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1363,10g-1273-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1364,10g-1272-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
