Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-5742-21 OP,171.12,27.37,29.09,Bag,HYJ,,,
11-J1587-22 OP,195.97,26.33,34.87,Bag,LL,,,
11-J1589-22 OP,162.08,26.12,27.71,Bag,LL,,,
11-J1599-21 OP,172.96,30.46,35.97,Bag,LL,,,
11-J4037-22 OP,148.8,26.48,21.73,Bag,LL,,,
11-6072-22 OP,90.65,11.7,7.33,??,LL,,,
11-5805-22 OP,182.45,24.84,32.72,??,LL,,,
11-J2085-23 OP,169.99,25.41,23.94,??,LL,,,
11-1549-21 OP,141.19,23.18,12.85,7,SR,,,
11-1549-22 OP,171.41,22.37,17.57,7,SR,,,
11-1549-23 OP,175.32,21.34,14.81,7,SR,,,
11-1550-21 OP,152.42,24.44,19.86,7,SR,,,
11-1550-22 OP,153.76,23.62,21.28,7,SR,,,
11-1550-23 OP,157.07,24.88,21.7,7,SR,,,
11-1551-21 OP,171.55,23.68,22.07,7,SR,,,
11-1551-22 OP,127.52,23.56,13.75,7,SR,,,
11-1551-23 OP,155.71,23.88,22.93,7,SR,,,
11-1552-21 OP,133.45,24.02,14.42,7,SR,,,
11-1552-22 OP,139.57,23.28,14.45,7,SR,,,
11-1552-23 OP,120.43,21.87,14.39,7,SR,,,
11-1553-21 OP,139.3,26.42,19.34,7,SR,,,
11-1553-22 OP,159.74,25.31,26.2,7,SR,,,
11-1553-23 OP,133.32,29.21,24.71,7,SR,,,
11-1554-21 OP,175.98,19.37,14.27,7,SR,,,
11-1554-22 OP,180.85,24.74,18.99,7,SR,,,
11-1554-23 OP,154.57,23.39,14.36,7,SR,,,
11-1555-21 OP,189.84,23.21,30.57,7,SR,,,
11-1555-22 OP,167.77,20.2,20.78,7,SR,,,
11-1555-23 OP,183.78,23.98,25.49,7,SR,,,
11-1556-22 OP,140.35,21.17,11.79,7,SR,,,
11-1556-23 OP,113.56,19.5,7.61,7,SR,,,
11-1557-21 OP,113.86,25.31,11.7,7,SR,,,
11-1557-22 OP,118.32,23.05,10.5,7,SR,,,
11-1557-23 OP,117.7,23.42,13.64,7,SR,,,
11-1563-21 OP,111.69,27.26,13.53,7,SR,,,
11-1563-22 OP,119.6,24.86,8.48,7,SR,,,
11-1563-23 OP,72.09,16.2,3.46,7,SR,,,
11-1564-21 OP,113.38,20.28,8.3,7,SR,,,
11-1564-22 OP,156.61,22.34,11.88,7,SR,,,
11-1564-23 OP,119.09,16.45,7.94,7,SR,,,
11-1565-21 OP,145.75,21.24,14.6,7,SR,,,
11-1565-22 OP,121.67,21.96,10.02,7,SR,,,
11-1565-23 OP,125.28,19.86,11.1,7,SR,,,
11-1566-22 OP,117.48,19.99,10.24,7,SR,,,
11-1566-23 OP,130.36,22.03,13.89,7,SR,,,
11-1567-21 OP,198.22,22.86,19.97,7,SR,,,
11-1567-22 OP,174.06,22.53,23.35,7,SR,,,
11-1567-23 OP,211.49,22.47,25.59,7,SR,,,
11-1568-21 OP,166.14,23.21,26.9,7,SR,,,
11-1568-22 OP,167.28,23.39,24.44,7,SR,,,
11-1568-23 OP,141.41,23.94,18.26,7,SR,,,
11-1601-21 OP,154.5,26.2,26.52,1,TS,,,
11-1601-22 OP,202.48,26.24,37.33,1,TS,,,
11-1601-23 OP,195.97,25.27,27.37,1,TS,,,
11-1602-21 OP,112.78,25.35,7.01,1,TS,,,
11-1602-22 OP,73.93,17.82,3.29,1,TS,,,
11-1603-21 OP,135.69,25.28,14.11,1,TS,,,
11-1603-22 OP,135.98,24.18,14.73,1,TS,,,
11-1603-23 OP,116.55,24.54,12.52,1,TS,,,
11-1605-21 OP,167.12,24.68,19.1,1,TS,,,
11-1605-22 OP,160.9,24.68,20.65,1,TS,,,
11-1605-23 OP,162.9,24.83,20.46,1,TS,,,
11-1606-21 OP,197.06,21.01,17.4,1,TS,,,
11-1606-22 OP,197.99,19.95,16.12,1,TS,,,
11-1606-23 OP,192.27,21.38,13.79,1,TS,,,
11-1607-21 OP,149.47,25.24,20.66,1,TS,,,
11-1607-22 OP,194.87,25.11,22.23,1,TS,,,
11-1607-23 OP,184.58,23.53,25.13,1,TS,,,
11-1608-21 OP,154.91,25.24,18.95,1,TS,,,
11-1608-22 OP,135.17,24.42,15.37,1,TS,,,
11-1609-21 OP,98.47,21.71,8.71,1,TS,,,
11-1609-22 OP,165.67,24.17,16.84,1,TS,,,
11-1609-23 OP,144.01,26.37,16.08,1,TS,,,
11-1610-21 OP,103.9,28.37,14.58,1,TS,,,
11-1610-22 OP,140.05,25.6,15.11,1,TS,,,
11-1610-23 OP,81.92,22.1,4.91,1,TS,,,
11-1611-21 OP,148.87,28.5,28.92,1,TS,,,
11-1611-22 OP,143.75,28.77,24.95,1,TS,,,
11-1611-23 OP,151.94,30.02,33.24,1,TS,,,
11-1612-21 OP,177.26,22.85,15.95,1,TS,,,
11-1612-22 OP,172.88,21.22,12.8,1,TS,,,
11-1613-21 OP,171.7,22.32,15.75,1,TS,,,
11-1613-22 OP,168,23.95,16.49,1,TS,,,
11-1613-23 OP,138.97,22.01,12.11,1,TS,,,
11-1614-21 OP,155.29,24.08,19.59,1,TS,,,
11-1614-22 OP,172.83,22.64,15.02,1,TS,,,
11-1614-23 OP,176.23,24.2,16.51,1,TS,,,
11-1615-21 OP,165.26,26.63,25.59,1,TS,,,
11-1615-22 OP,184.06,23.06,23.65,1,TS,,,
11-1615-23 OP,198.96,25.52,29.75,1,TS,,,
11-1616-21 OP,161.35,22.31,13.28,1,TS,,,
11-1616-22 OP,131.76,20.95,8.02,1,TS,,,
11-1616-23 OP,177.51,24.47,16.15,1,TS,,,
11-1617-21 OP,145.66,23.56,13.62,1,TS,,,
11-1617-22 OP,183.71,25.69,20.11,1,TS,,,
11-1617-23 OP,157.62,23.54,15.44,1,TS,,,
11-1618-21 OP,161.66,20.27,11.52,1,TS,,,
11-1618-22 OP,161.97,20.45,12.76,1,TS,,,
11-1618-23 OP,142.02,20.71,12.24,1,TS,,,
11-1619-21 OP,161.67,26.51,24.58,1,TS,,,
11-1619-22 OP,157.71,26.47,26.13,1,TS,,,
11-1619-23 OP,133.5,27.86,18.56,1,TS,,,
11-1620-21 OP,153.57,25.36,15.35,1,TS,,,
11-1620-22 OP,119.81,24.07,8.59,1,TS,,,
11-1620-23 OP,117.78,25.26,12.99,1,TS,,,
11-1621-21 OP,160.24,25.71,16.96,1,TS,,,
11-1621-22 OP,153.77,25.67,17.47,1,TS,,,
11-1621-23 OP,139.08,24.56,13.78,1,TS,,,
11-1622-21 OP,155.82,23.35,17.04,1,TS,,,
11-1622-22 OP,170.46,25.56,17.47,1,TS,,,
11-1622-23 OP,145.32,25.13,16.27,1,TS,,,
11-1623-21 OP,165.44,27.29,25.02,1,TS,,,
11-1623-22 OP,123.4,23.22,11.62,1,TS,,,
11-1623-23 OP,178.2,27.71,34.17,1,TS,,,
11-1624-21 OP,168.82,23.97,17.62,1,TS,,,
11-1624-22 OP,167.38,22.05,16.95,1,TS,,,
11-1624-23 OP,136.36,24.93,15.21,1,TS,,,
11-1625-21 OP,143.3,29.8,20.97,1,TS,,,
11-1626-21 OP,151.43,24.01,23.78,1,TS,,,
11-1626-22 OP,175.86,28.41,28.74,1,TS,,,
11-1626-23 OP,170.75,27.53,27.99,1,TS,,,
11-1627-21 OP,175.5,27.05,27.08,1,TS,,,
