Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-1769-22 OP,194.19,21.39,19.63,4,SR,,,
11-1770-23 OP,140.5,21.53,8.95,23,SR,,,
11-1772-23 OP,132.22,22.34,8.8,4,SR,,,
11-1773-21 OP,162.29,23.32,20.51,4,SR,,,
11-1773-22 OP,117.67,19.93,8.42,23,SR,,,
11-1773-23 OP,90.73,20.26,7.83,23,SR,,,
11-1774-21 OP,165.97,19.93,11.7,23,SR,,,
11-1775-21 OP,155.28,23.44,19.79,4,SR,,,
11-1775-23 OP,137.48,25.54,14.19,4,SR,,,
11-1776-21 OP,93.73,22.93,9.54,23,SR,,,
11-1777-22 OP,180.38,21.29,21.92,23,SR,,,
11-1779-22 OP,159.18,31.2,22.72,23,SR,,,
11-1780-21 OP,151.6,19.44,10.89,23,SR,,,
11-1780-22 OP,155.46,17.43,10.08,23,SR,,,
11-1780-23 OP,151.32,19.72,11.49,23,SR,,,
11-1782-21 OP,98.63,24.88,12.11,23,SR,,,
11-1784-22 OP,175.86,21.64,15.84,23,SR,,,
11-1786-21 OP,178.2,22.28,18.23,4,SR,,,
11-1786-23 OP,137.23,24.04,14.12,4,SR,,,
11-1790-23 OP,172.62,23.57,26.91,4,SR,,,
11-1791-21 OP,156.8,18.85,10.09,23,SR,curved,,
11-1791-22 OP,156.58,16.03,9.68,23,SR,,,
11-1791-23 OP,178.03,18.83,9.41,23,SR,,,
11-1792-21 OP,150.36,19.06,10.15,4,SR,,,
11-1792-23 OP,178.87,19.17,11.79,4,SR,,,
11-1795-22 OP,163.53,25.68,19.74,4,SR,,,
11-1795-23 OP,125.94,26.64,20.74,4,SR,,,
11-1796-21 OP,145.36,20.03,11.5,4,SR,,,
11-1797-22 OP,192.58,25.23,16.17,4,SR,,,
11-1798-21 OP,152.99,26.22,17.14,4,SR,,,
11-1798-22 OP,107.16,16.63,6.66,23,SR,,,
11-1798-23 OP,134.13,26.27,15.75,4,SR,,,
11-1799-22 OP,169.69,22.64,13.29,23,SR,,,
11-1801-21 OP,183.18,22.25,19.82,4,SR,,,
11-1801-22 OP,147.37,22.93,14.1,4,SR,,,
11-1801-23 OP,148.33,23.86,17.66,4,SR,,,
11-1802-21 OP,131.59,26.07,16.17,4,SR,,,
11-1802-22 OP,181.32,20.1,13.8,23,SR,,,
11-1804-22 OP,198.81,25.48,30.07,4,SR,,,
11-1804-23 OP,192.12,26.16,26.83,4,SR,,,
11-1805-21 OP,167.45,24.11,20.39,4,SR,,,
11-1805-22 OP,161.17,24.75,17.15,4,SR,,,
11-1806-21 OP,112.83,21.62,10.37,4,SR,,,
11-1806-22 OP,75.86,18.96,3.4,23,SR,,,
11-1806-23 OP,134.68,20.6,8.31,23,SR,,,
11-1807-21 OP,177.02,20.17,15.59,4,SR,,,
11-1807-23 OP,162.12,21.93,16.02,4,SR,,,
11-1808-21 OP,84.1,9.65,1.72,23,SR,,,
11-1809-21 OP,113.95,21.7,12.18,4,SR,,,
11-1809-22 OP,54.58,24.67,7.4,4,SR,,,
11-1809-23 OP,96.34,24.31,10.61,4,SR,,,
11-1810-22 OP,146.86,24.94,18.63,4,SR,,,
11-1810-23 OP,135.52,23.09,15.59,23,SR,,,
11-1811-22 OP,142.4,24,15.59,23,SR,,,
11-1812-21 OP,172.56,27.79,23.98,23,SR,,,
11-1812-22 OP,181,23.54,25.37,4,SR,,,
11-1813-21 OP,218.52,24.69,26.96,4,SR,,,
11-1813-22 OP,161.23,25.45,15.89,4,SR,,,
11-1815-21 OP,153.93,19.54,15.55,23,SR,,,
11-1815-22 OP,165.04,21.54,16.99,4,SR,,,
11-1815-23 OP,151.83,21.57,14.92,4,SR,,,
11-1816-22 OP,205.39,25.15,28.58,4,SR,,,
11-1817-21 OP,136.7,23.16,17.73,23,SR,,,
11-1817-22 OP,175.86,25.53,30.68,4,SR,,,
11-1817-23 OP,171.21,26.18,26.25,4,SR,,,
11-1818-21 OP,172.69,20.41,15.44,23,SR,,,
11-1819-21 OP,191.48,24.15,20.16,4,SR,,,
11-1819-22 OP,172.43,25.1,16.67,4,SR,,,
11-1819-23 OP,167.51,25.8,26.68,4,SR,,,
11-1843-23 OP,162.35,21.07,19.31,23,SR,curved,,
11-1852-21 OP,148.87,22.95,17.56,23,SR,curved,,
11-1874-21 OP,146.5,23.69,15.23,4,SR,,,
11-1874-22 OP,135.11,23.44,15.09,4,SR,,,
11-1874-23 OP,74.88,21.21,7.14,23,SR,,,
