Genotype,KRN,Note,RIL
B73 x Z001E0002,17,Bx,Z001E0002
B73 x Z001E0016,16,Bx,Z001E0016
B73 x Z001E0030,16.99999997,Bx,Z001E0030
B73 x Z001E0038,17,Bx,Z001E0038
B73 x Z001E0078,15.33333333,Bx,Z001E0078
B73 x Z001E0101,16,Bx,Z001E0101
B73 x Z001E0112,15,Bx,Z001E0112
B73 x Z001E0128,14.66666667,Bx,Z001E0128
B73 x Z001E0151,17,Bx,Z001E0151
B73 x Z001E0170,17.66666667,Bx,Z001E0170
B73 x Z001E0198,15.99999994,Bx,Z001E0198
B73 x Z002E0001,15.19999999,Bx,Z002E0001
B73 x Z002E0023,17,Bx,Z002E0023
B73 x Z002E0046,18.66666667,Bx,Z002E0046
B73 x Z002E0106,17.19999999,Bx,Z002E0106
B73 x Z002E0116,16.79999999,Bx,Z002E0116
B73 x Z002E0126,16.33333333,Bx,Z002E0126
B73 x Z002E0136,16.39999999,Bx,Z002E0136
B73 x Z002E0152,17,Bx,Z002E0152
B73 x Z002E0156,15.33333333,Bx,Z002E0156
B73 x Z002E0159,15,Bx,Z002E0159
B73 x Z002E0163,15.49999997,Bx,Z002E0163
B73 x Z002E0175,16.66666667,Bx,Z002E0175
B73 x Z002E0187,17.33333333,Bx,Z002E0187
B73 x Z002E0193,19.66666667,Bx,Z002E0193
B73 x Z002E0197,16.79999999,Bx,Z002E0197
B73 x Z002E0217,16.79999999,Bx,Z002E0217
B73 x Z003E0022,17.66666667,Bx,Z003E0022
B73 x Z003E0071,19,Bx,Z003E0071
B73 x Z003E0075,15.59999999,Bx,Z003E0075
B73 x Z003E0077,17.33333333,Bx,Z003E0077
B73 x Z003E0088,15.66666667,Bx,Z003E0088
B73 x Z003E0098,16.99999997,Bx,Z003E0098
B73 x Z003E0195,16,Bx,Z003E0195
B73 x Z003E0197,17.33333333,Bx,Z003E0197
B73 x Z003E0212,16.33333333,Bx,Z003E0212
B73 x Z004E0001,19,Bx,Z004E0001
B73 x Z004E0005,17,Bx,Z004E0005
B73 x Z004E0021,16.66666667,Bx,Z004E0021
B73 x Z004E0027,19.19999999,Bx,Z004E0027
B73 x Z004E0040,16.49999997,Bx,Z004E0040
