Genotype,KC,TKW,AKW,Note,RIL
Z001E0003 x B73,464.8333333,139.3316667,0.302556562,Bx,Z001E0003
Z001E0004 x B73,555.6666667,156.09,0.280179876,Bx,Z001E0004
Z001E0006 x B73,457.347017,136.977723,0.304374202,Bx,Z001E0006
Z003E0008 x B73,536.347017,166.335223,0.309973279,Bx,Z003E0008
Z010E0001 x B73,518.1666667,165.1233333,0.31998571,Bx,Z010E0001
Z010E0002 x B73,582.9388068,157.5820892,0.274106004,Bx,Z010E0002
Z010E0009 x B73,593.1666667,157.0816667,0.26518235,Bx,Z010E0009
Z011E0012 x B73,565.6666667,165.2666667,0.292617926,Bx,Z011E0012
Z012E0012 x B73,512.8333333,174.2716667,0.341616972,Bx,Z012E0012
Z012E0014 x B73,529.097017,157.647723,0.296204341,Bx,Z012E0014
Z012E0026 x B73,388.6940341,118.4454461,0.30651585,Bx,Z012E0026
Z012E0042 x B73,585.1388068,191.1360892,0.329350836,Bx,Z012E0042
Z019E0006 x B73,667.597017,195.097723,0.291795028,Bx,Z019E0006
Z019E0011 x B73,573,161.845,0.281646788,Bx,Z019E0011
Z022E0007 x B73,624.1388068,158.3640892,0.254416516,Bx,Z022E0007
Z022E0012 x B73,513.1666667,162.12,0.320782069,Bx,Z022E0012
Z022E0016 x B73,492.8611932,140.0579108,0.302497666,Bx,Z022E0016
Z024E0002 x B73,468.5,132.7533333,0.283700612,Bx,Z024E0002
Z024E0004 x B73,503,145.6583333,0.289472548,Bx,Z024E0004
Z024E0006 x B73,371.0611932,95.12391079,0.263403865,Bx,Z024E0006
Z024E0008 x B73,573,145.2575,0.255787752,Bx,Z024E0008
Z025E0181 x B73,580.847017,169.770223,0.295349947,Bx,Z025E0181
Z025E0187 x B73,454.564678,111.6168154,0.241833736,Bx,Z025E0187
Z025E0196 x B73,560.5,186.265,0.334600721,Bx,Z025E0196
Z025E0198 x B73,522.8333333,157.7966667,0.297848034,Bx,Z025E0198
B73 x Z001E0002,507.7388068,146.3480892,0.285608719,Bx,Z001E0002
B73 x Z001E0016,578.8333333,162.0266667,0.282130185,Bx,Z001E0016
B73 x Z001E0030,585.347017,141.110223,0.244204463,Bx,Z001E0030
B73 x Z001E0038,610,164,0.267844781,Bx,Z001E0038
B73 x Z001E0078,468.3388068,145.2860892,0.297710106,Bx,Z001E0078
B73 x Z001E0101,612.5,185.4666667,0.30489535,Bx,Z001E0101
B73 x Z001E0112,467,137.165,0.299242484,Bx,Z001E0112
