Phenotype Name,Evaluation Locality,Planting Date,Rep,Accession,Source,Plant Name,Plant ID,Phenotype Value
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,38-11,PURD-AG,38-11 Row,870,mean=14.2
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,A272,NATAL,A272 Row,884,mean=10.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,A441-5,NATAL,A441-5 Row,894,mean=11.8
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,A6,PHI,A6 Row,924,mean=13.5
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,B103,ISU,B103 Row,970,mean=14.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,B104,ISU,B104 Row,980,mean=12.6
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,B68,ISU,B68 Row,1025,mean=14.5
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,B73,ISU,B73 Row,1039,mean=16.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,B84,ISU,B84 Row,1048,mean=13.5
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,B97,ISU,B97 Row,1060,mean=12.8
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,C103,UIUC-CS,C103 Row,1078,mean=10.5
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,CI187-2,ISU,CI187-2 Row,1085,mean=10.66666667
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,CM105,AGCAN,CM105 Row,1105,mean=11.6
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,CM174,AGCAN,CM174 Row,1119,mean=12.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,CML247,CIMMYT,CML247 Row,1160,mean=14.25
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,CML258,CIMMYT,CML258 Row,1180,mean=13.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,CML261,CIMMYT,CML261 Row,1187,mean=14.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,CML277,CIMMYT,CML277 Row,1198,mean=10.6
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,CMV3,MINN,CMV3 Row,1266,mean=10.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,D940Y,NATAL,D940Y Row,1281,mean=12.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,EP1,GAL,EP1 Row,1304,mean=12.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,F2,INRA,F2 Row,1310,mean=11.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,F2834T,NATAL,F2834T Row,1328,mean=10.66666667
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,F44,FLA,F44 Row,1335,mean=10.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,F7,INRA,F7 Row,1357,mean=9.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,GT112,ARS-TIF,GT112 Row,1368,mean=12.0
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,H95,PURD-AG,H95 Row,1371,mean=14.75
Ear Row Number,27 Farms,28-Sep-98,1998_Winter,H99,PURD-AG,H99 Row,1395,mean=9.857142857
