Row,Barcode,KC,TKW,AKW,Note.x,Hand.count,Pedigree,Genotype,Note.y,Farm,problem
5106,11-5106-23 OP,562,151.88,0.27024911,,NA,10g-1459-32/1754,B73 x Z004E0081,B73 x [(B73 x CML247)S5 Sib],Curtiss,duplicated
5106,11-5106-23 OP,565,152.26,0.269486726,,NA,10g-1459-32/1754,B73 x Z004E0081,B73 x [(B73 x CML247)S5 Sib],Curtiss,duplicated
5342,11-5342-23 OP,9,2.26,0.251111111,,NA,10g-1475-24/1521,B73 x Z010E0141,B73 x [(B73 x Hp301)S6],Curtiss,duplicated
5342,11-5342-23 OP,9,2.27,0.252222222,,NA,10g-1475-24/1521,B73 x Z010E0141,B73 x [(B73 x Hp301)S6],Curtiss,duplicated
J1573,11-J1573-23 OP,589,152.89,0.259575552,,NA,10-3965/NAM-1915,B73 x Z016E0084,B73 x [(B73 x M37W)S5 sib],Johnson,duplicated
J1573,11-J1573-23 OP,590,152.95,0.259237288,,NA,10-3965/NAM-1915,B73 x Z016E0084,B73 x [(B73 x M37W)S5 sib],Johnson,duplicated
J1822,11-J1822-21 OP,232,55.51,0.239267241,,NA,10g-1828-21@,Z018E0130@,(B73 x Ki3)S6,Johnson,duplicated
J1822,11-J1822-21 OP,233,55.99,0.240300429,,NA,10g-1828-21@,Z018E0130@,(B73 x Ki3)S6,Johnson,duplicated
J1834,11-J1834-21 OP,165,54.5,0.33030303,,NA,10g-1873-22@,Z003E0071@,(B73 x CML228)S6,Johnson,duplicated
J1834,11-J1834-21 OP,167,54.36,0.325508982,,NA,10g-1873-22@,Z003E0071@,(B73 x CML228)S6,Johnson,duplicated
J1846,11-J1846-23 OP,275,83.81,0.304763636,,NA,10NAM-1889-21@,Z016E0058@,(B73 x M37W)S6,Johnson,duplicated
J1846,11-J1846-23 OP,453,154.35,0.340728477,,NA,10NAM-1889-21@,Z016E0058@,(B73 x M37W)S6,Johnson,duplicated
J2018,11-J2018-22 OP,727,204.64,0.281485557,,NA,09NAM-947-21@.,Z012E0026@.,(B73 x Ki11)S6.,Johnson,duplicated
J2018,11-J2018-22 OP,257,56.69,0.220583658,,NA,09NAM-947-21@.,Z012E0026@.,(B73 x Ki11)S6.,Johnson,duplicated
