Genotype	AKW	Fix	pop$	FID$
Z001E0001	0.306974787651111	1	NAMRIL	Z001
Z001E0002	0.34152695819494	1	NAMRIL	Z001
Z001E0003	0.336296216222954	1	NAMRIL	Z001
Z001E0004	0.269577292632316	1	NAMRIL	Z001
Z001E0005	0.243167544957886	1	NAMRIL	Z001
Z001E0006	0.297696606789563	1	NAMRIL	Z001
Z001E0007	0.233792544957875	1	NAMRIL	Z001
Z001E0008	0.170792544957833	1	NAMRIL	Z001
Z001E0009	0.230331930508676	1	NAMRIL	Z001
Z001E0010	0.232125878291205	1	NAMRIL	Z001
Z001E0011	0.257959211624535	1	NAMRIL	Z001
Z001E0012	0.257776958194923	1	NAMRIL	Z001
Z001E0013	0.265584211624548	1	NAMRIL	Z001
Z001E0014	0.227292544957875	1	NAMRIL	Z001
Z001E0015	0.286221171670931	1	NAMRIL	Z001
Z001E0016	0.251696267793271	1	NAMRIL	Z001
Z001E0017	0.267500878291163	1	NAMRIL	Z001
Z001E0018	0.239867644794421	1	NAMRIL	Z001
Z001E0019	0.274445322732856	1	NAMRIL	Z001
Z001E0020	0.220689073365792	1	NAMRIL	Z001
Z001E0021	0.212292544957849	1	NAMRIL	Z001
Z001E0022	0.236724787651565	1	NAMRIL	Z001
Z001E0023	0.273796216222965	1	NAMRIL	Z001
Z001E0024	0.274084211624507	1	NAMRIL	Z001
Z001E0025	0.227571171670929	1	NAMRIL	Z001
Z001E0026	0.20972478765149	1	NAMRIL	Z001
Z001E0027	0.213581930508681	1	NAMRIL	Z001
Z001E0028	0.290648700915081	1	NAMRIL	Z001
Z001E0029	0.23138689651311	1	NAMRIL	Z001
Z001E0030	0.228283310771236	1	NAMRIL	Z001
Z001E0031	0.241907384750853	1	NAMRIL	Z001
Z001E0032	0.212260501937237	1	NAMRIL	Z001
Z001E0033	0.207298523490855	1	NAMRIL	Z001
Z001E0034	0.267081930508654	1	NAMRIL	Z001
Z001E0035	0.228000878291229	1	NAMRIL	Z001
Z001E0036	0.278653359080129	1	NAMRIL	Z001
Z001E0037	0.231792544957828	1	NAMRIL	Z001
Z001E0038	0.259360666923468	1	NAMRIL	Z001
Z001E0039	0.232867644794335	1	NAMRIL	Z001
Z001E0040	0.251671171670917	1	NAMRIL	Z001
Z001E0041	0.239153359080086	1	NAMRIL	Z001
Z001E0042	0.237578260834978	1	NAMRIL	Z001
Z001E0043	0.229724787651558	1	NAMRIL	Z001
Z001E0044	0.216834211624551	1	NAMRIL	Z001
Z001E0045	0.182831930508673	1	NAMRIL	Z001
Z001E0046	0.234071171670878	1	NAMRIL	Z001
Z001E0047	0.198546216222986	1	NAMRIL	Z001
