Genotype	CL	Fix	pop$	FID$
Z001E0001	121.641796203101	1	NAMRIL	Z001
Z001E0002	114.630755731666	1	NAMRIL	Z001
Z001E0003	118.370555555532	1	NAMRIL	Z001
Z001E0004	118.329920046948	1	NAMRIL	Z001
Z001E0005	139.64996404238	1	NAMRIL	Z001
Z001E0006	139.124444444413	1	NAMRIL	Z001
Z001E0007	108.297400452966	1	NAMRIL	Z001
Z001E0008	129.300971881539	1	NAMRIL	Z001
Z001E0009	126.103671203457	1	NAMRIL	Z001
Z001E0010	141.817400452985	1	NAMRIL	Z001
Z001E0011	129.715257595819	1	NAMRIL	Z001
Z001E0012	126.206796203463	1	NAMRIL	Z001
Z001E0013	115.781686167246	1	NAMRIL	Z001
Z001E0014	134.034130709052	1	NAMRIL	Z001
Z001E0015	122.262538986135	1	NAMRIL	Z001
Z001E0016	111.211543053804	1	NAMRIL	Z001
Z001E0017	145.176686167245	1	NAMRIL	Z001
Z001E0018	107.178046203461	1	NAMRIL	Z001
Z001E0019	129.800257595829	1	NAMRIL	Z001
Z001E0020	109.168671203464	1	NAMRIL	Z001
Z001E0021	122.213114738681	1	NAMRIL	Z001
Z001E0022	145.823046203465	1	NAMRIL	Z001
Z001E0023	125.033671203461	1	NAMRIL	Z001
Z001E0024	125.144543310108	1	NAMRIL	Z001
Z001E0025	120.298743000071	1	NAMRIL	Z001
Z001E0026	132.961796203464	1	NAMRIL	Z001
Z001E0027	110.470546203465	1	NAMRIL	Z001
Z001E0028	117.317858083091	1	NAMRIL	Z001
Z001E0029	121.555710064266	1	NAMRIL	Z001
Z001E0030	138.985194898416	1	NAMRIL	Z001
Z001E0031	143.207228239418	1	NAMRIL	Z001
Z001E0032	135.806796203464	1	NAMRIL	Z001
Z001E0033	131.136431993833	1	NAMRIL	Z001
Z001E0034	138.316796203466	1	NAMRIL	Z001
Z001E0035	127.918829024403	1	NAMRIL	Z001
Z001E0036	130.204296203466	1	NAMRIL	Z001
Z001E0037	120.793829024384	1	NAMRIL	Z001
Z001E0038	137.981844923186	1	NAMRIL	Z001
Z001E0039	137.803046203472	1	NAMRIL	Z001
Z001E0040	137.78247777325	1	NAMRIL	Z001
Z001E0041	132.199921203457	1	NAMRIL	Z001
Z001E0042	140.118894906099	1	NAMRIL	Z001
Z001E0043	116.724921203461	1	NAMRIL	Z001
Z001E0044	136.102400452979	1	NAMRIL	Z001
Z001E0045	132.28867120347	1	NAMRIL	Z001
Z001E0046	119.915955652805	1	NAMRIL	Z001
Z001E0047	136.837421203466	1	NAMRIL	Z001
Z001E0048	141.454621530168	1	NAMRIL	Z001
Z001E0049	130.740133699072	1	NAMRIL	Z001
Z001E0050	137.283829024387	1	NAMRIL	Z001
Z001E0051	124.323114738673	1	NAMRIL	Z001
Z001E0052	118.796796203451	1	NAMRIL	Z001
Z001E0053	140.435546203457	1	NAMRIL	Z001
Z001E0054	116.553046203459	1	NAMRIL	Z001
Z001E0055	126.548254540964	1	NAMRIL	Z001
Z001E0056	148.255546203456	1	NAMRIL	Z001
Z001E0057	164.563046203479	1	NAMRIL	Z001
Z001E0058	126.240113668577	1	NAMRIL	Z001
Z001E0059	107.342622319466	1	NAMRIL	Z001
Z001E0060	127.662421203461	1	NAMRIL	Z001
Z001E0061	136.922421203458	1	NAMRIL	Z001
Z001E0062	141.73429620345	1	NAMRIL	Z001
Z001E0063	134.591215551616	1	NAMRIL	Z001
Z001E0064	92.0758279543182	1	NAMRIL	Z001
