Genotype	CW	Fix	pop$	FID$
Z001E0001	16.0953293727053	1	NAMRIL	Z001
Z001E0002	13.9102927129358	1	NAMRIL	Z001
Z001E0003	19.0827777777766	1	NAMRIL	Z001
Z001E0004	15.8871549466801	1	NAMRIL	Z001
Z001E0005	22.8360605584408	1	NAMRIL	Z001
Z001E0006	17.4209259259251	1	NAMRIL	Z001
Z001E0007	21.6467880662267	1	NAMRIL	Z001
Z001E0008	13.3117880662267	1	NAMRIL	Z001
Z001E0009	21.0865793726905	1	NAMRIL	Z001
Z001E0010	17.5882166376546	1	NAMRIL	Z001
Z001E0011	18.4846452090837	1	NAMRIL	Z001
Z001E0012	19.1759543726895	1	NAMRIL	Z001
Z001E0013	13.8325023519394	1	NAMRIL	Z001
Z001E0014	21.3868938917757	1	NAMRIL	Z001
Z001E0015	16.5738456612462	1	NAMRIL	Z001
Z001E0016	13.2563209351637	1	NAMRIL	Z001
Z001E0017	19.9346452090835	1	NAMRIL	Z001
Z001E0018	17.77657937269	1	NAMRIL	Z001
Z001E0019	17.4167880662268	1	NAMRIL	Z001
Z001E0020	16.5328293726894	1	NAMRIL	Z001
Z001E0021	13.7560737805146	1	NAMRIL	Z001
Z001E0022	18.5659543726911	1	NAMRIL	Z001
Z001E0023	17.8934543726868	1	NAMRIL	Z001
Z001E0024	17.7160737805133	1	NAMRIL	Z001
Z001E0025	17.1698456612447	1	NAMRIL	Z001
Z001E0026	22.8328293726892	1	NAMRIL	Z001
Z001E0027	17.6084543726905	1	NAMRIL	Z001
Z001E0028	14.8022239555876	1	NAMRIL	Z001
Z001E0029	15.5072619830011	1	NAMRIL	Z001
Z001E0030	17.9444399672792	1	NAMRIL	Z001
Z001E0031	24.3877808844627	1	NAMRIL	Z001
Z001E0032	16.6172043726896	1	NAMRIL	Z001
Z001E0033	16.4658828136605	1	NAMRIL	Z001
Z001E0034	14.7084543726892	1	NAMRIL	Z001
Z001E0035	14.0332166376543	1	NAMRIL	Z001
