Genotype	KRN	Fix	pop$	FID$
Z001E0001	12.5088376893416	1	NAMRIL	Z001
Z001E0002	12.1384872501687	1	NAMRIL	Z001
Z001E0003	13.1666666666665	1	NAMRIL	Z001
Z001E0004	16.0790966454745	1	NAMRIL	Z001
Z001E0005	16.2830275590379	1	NAMRIL	Z001
Z001E0006	14.7777777777764	1	NAMRIL	Z001
Z001E0007	18.1930777258577	1	NAMRIL	Z001
Z001E0008	15.1216491544256	1	NAMRIL	Z001
Z001E0009	14.8838376893823	1	NAMRIL	Z001
Z001E0010	15.2214459207588	1	NAMRIL	Z001
Z001E0011	15.4787920115699	1	NAMRIL	Z001
Z001E0012	13.7397999277873	1	NAMRIL	Z001
Z001E0013	14.0502205829967	1	NAMRIL	Z001
Z001E0014	18.0330275590362	1	NAMRIL	Z001
Z001E0015	15.7707296729605	1	NAMRIL	Z001
Z001E0016	13.412950486793	1	NAMRIL	Z001
Z001E0017	15.4787920115676	1	NAMRIL	Z001
Z001E0018	17.7588376893789	1	NAMRIL	Z001
Z001E0019	13.6873963396258	1	NAMRIL	Z001
Z001E0020	17.6338376893814	1	NAMRIL	Z001
Z001E0021	15.7993692593741	1	NAMRIL	Z001
Z001E0022	15.2588376893811	1	NAMRIL	Z001
Z001E0023	14.5088376893827	1	NAMRIL	Z001
Z001E0024	13.3359348687133	1	NAMRIL	Z001
Z001E0025	15.2941998621983	1	NAMRIL	Z001
Z001E0026	16.0713376893826	1	NAMRIL	Z001
Z001E0027	15.8838376893804	1	NAMRIL	Z001
Z001E0028	13.7214459207595	1	NAMRIL	Z001
Z001E0029	15.4220577861934	1	NAMRIL	Z001
Z001E0030	14.364810931815	1	NAMRIL	Z001
Z001E0031	15.2160359260425	1	NAMRIL	Z001
Z001E0032	15.029671023132	1	NAMRIL	Z001
Z001E0033	16.1464552034409	1	NAMRIL	Z001
Z001E0034	12.7879104271888	1	NAMRIL	Z001
Z001E0035	15.7645062972832	1	NAMRIL	Z001
Z001E0036	14.5088376893807	1	NAMRIL	Z001
Z001E0037	18.0502205830027	1	NAMRIL	Z001
Z001E0038	14.8634872479775	1	NAMRIL	Z001
Z001E0039	12.7645062972841	1	NAMRIL	Z001
Z001E0040	16.2980344911786	1	NAMRIL	Z001
Z001E0041	16.3838376893803	1	NAMRIL	Z001
Z001E0042	16.2993692593738	1	NAMRIL	Z001
Z001E0043	16.2588376893793	1	NAMRIL	Z001
Z001E0044	15.121649154427	1	NAMRIL	Z001
Z001E0045	16.2588376893809	1	NAMRIL	Z001
Z001E0046	17.7707296729631	1	NAMRIL	Z001
Z001E0047	14.9463376893805	1	NAMRIL	Z001
Z001E0048	15.7024746840422	1	NAMRIL	Z001
Z001E0049	14.1450532843325	1	NAMRIL	Z001
Z001E0050	15.4787920115698	1	NAMRIL	Z001
Z001E0051	17.0502205829965	1	NAMRIL	Z001
Z001E0052	12.7588376893815	1	NAMRIL	Z001
Z001E0053	13.359338998617	1	NAMRIL	Z001
Z001E0054	14.8593389986175	1	NAMRIL	Z001
Z001E0055	16.8213376893816	1	NAMRIL	Z001
Z001E0056	14.7588376893834	1	NAMRIL	Z001
Z001E0057	14.7588376893824	1	NAMRIL	Z001
Z001E0058	14.3826570706429	1	NAMRIL	Z001
Z001E0059	14.6873963396254	1	NAMRIL	Z001
Z001E0060	15.133837689381	1	NAMRIL	Z001
Z001E0061	15.1338376893811	1	NAMRIL	Z001
Z001E0062	15.0713376893804	1	NAMRIL	Z001
Z001E0063	12.5283402059176	1	NAMRIL	Z001
Z001E0064	13.7397999277878	1	NAMRIL	Z001
Z001E0065	16.6963376893814	1	NAMRIL	Z001
Z001E0066	14.3838376893816	1	NAMRIL	Z001
Z001E0067	15.0088376893826	1	NAMRIL	Z001
Z001E0068	13.3359348687131	1	NAMRIL	Z001
Z001E0069	16.4463376893825	1	NAMRIL	Z001
Z001E0070	14.4463376893816	1	NAMRIL	Z001
Z001E0071	13.4787920115711	1	NAMRIL	Z001
Z001E0072	16.9647011578476	1	NAMRIL	Z001
Z001E0073	16.5294345358195	1	NAMRIL	Z001
Z001E0074	17.9062193531174	1	NAMRIL	Z001
Z001E0075	13.5493692593748	1	NAMRIL	Z001
Z001E0076	14.2588376893825	1	NAMRIL	Z001
Z001E0077	15.6338376893804	1	NAMRIL	Z001
Z001E0078	14.9629629629626	1	NAMRIL	Z001
Z001E0079	16.6327025927103	1	NAMRIL	Z001
Z001E0080	13.3838376893808	1	NAMRIL	Z001
Z001E0081	14.0088376893816	1	NAMRIL	Z001
Z001E0082	16.3213376893803	1	NAMRIL	Z001
Z001E0083	13.5040563513322	1	NAMRIL	Z001
Z001E0084	14.320301896265	1	NAMRIL	Z001
Z001E0085	12.6216491544259	1	NAMRIL	Z001
Z001E0086	16.3112284992143	1	NAMRIL	Z001
Z001E0087	14.764506297283	1	NAMRIL	Z001
Z001E0088	14.9167603983254	1	NAMRIL	Z001
Z001E0089	15.5969427849308	1	NAMRIL	Z001
Z001E0090	14.5809098664166	1	NAMRIL	Z001
Z001E0091	13.47879201157	1	NAMRIL	Z001
Z001E0092	13.812463037298	1	NAMRIL	Z001
Z001E0093	13.9372118282973	1	NAMRIL	Z001
Z001E0094	13.1808227071439	1	NAMRIL	Z001
Z001E0095	12.9787920115688	1	NAMRIL	Z001
Z001E0096	16.4787920115697	1	NAMRIL	Z001
Z001E0097	14.9841712385117	1	NAMRIL	Z001
Z001E0098	16.383837689386	1	NAMRIL	Z001
Z001E0099	14.1327025927085	1	NAMRIL	Z001
Z001E0100	15.1338376893819	1	NAMRIL	Z001
Z001E0101	14.1851851851846	1	NAMRIL	Z001
Z001E0102	14.1930777258554	1	NAMRIL	Z001
Z001E0103	12.3838376893804	1	NAMRIL	Z001
Z001E0104	15.0547792540956	1	NAMRIL	Z001
Z001E0105	16.0283402059215	1	NAMRIL	Z001
Z001E0106	16.6038784949642	1	NAMRIL	Z001
Z001E0107	14.0502205829962	1	NAMRIL	Z001
Z001E0108	14.335934868712	1	NAMRIL	Z001
Z001E0109	14.5502205829974	1	NAMRIL	Z001
Z001E0110	15.4285673658972	1	NAMRIL	Z001
Z001E0111	17.5255142135017	1	NAMRIL	Z001
Z001E0112	14.7453579178196	1	NAMRIL	Z001
Z001E0113	15.4255043556308	1	NAMRIL	Z001
Z001E0114	15.0088376893788	1	NAMRIL	Z001
Z001E0115	15.258837689383	1	NAMRIL	Z001
Z001E0116	15.1338376893784	1	NAMRIL	Z001
Z001E0117	14.6216491544277	1	NAMRIL	Z001
Z001E0118	14.6930777258528	1	NAMRIL	Z001
Z001E0119	15.8826570706419	1	NAMRIL	Z001
Z001E0120	14.0502205829979	1	NAMRIL	Z001
Z001E0121	14.8838376893807	1	NAMRIL	Z001
Z001E0122	14.9776479245464	1	NAMRIL	Z001
Z001E0123	14.0502205829992	1	NAMRIL	Z001
Z001E0124	15.1683713563578	1	NAMRIL	Z001
Z001E0125	14.3359348687124	1	NAMRIL	Z001
Z001E0126	18.2993692593721	1	NAMRIL	Z001
Z001E0127	16.4099070100752	1	NAMRIL	Z001
Z001E0128	15.1184386540768	1	NAMRIL	Z001
Z001E0129	12.7645062972845	1	NAMRIL	Z001
Z001E0130	14.9885750384578	1	NAMRIL	Z001
Z001E0131	14.764506297284	1	NAMRIL	Z001
Z001E0132	19.8846929786873	1	NAMRIL	Z001
Z001E0133	17.1216491544249	1	NAMRIL	Z001
Z001E0134	16.1930777258577	1	NAMRIL	Z001
Z001E0135	14.9787920115692	1	NAMRIL	Z001
Z001E0136	15.0502205830006	1	NAMRIL	Z001
Z001E0137	17.3359348687116	1	NAMRIL	Z001
Z001E0138	15.9073634401424	1	NAMRIL	Z001
Z001E0139	16.1216491544254	1	NAMRIL	Z001
Z001E0140	17.0765736767411	1	NAMRIL	Z001
Z001E0141	15.821337689385	1	NAMRIL	Z001
Z001E0142	14.5555998099401	1	NAMRIL	Z001
Z001E0143	13.0713376893819	1	NAMRIL	Z001
Z001E0144	13.8838376893795	1	NAMRIL	Z001
Z001E0145	13.8838376893823	1	NAMRIL	Z001
Z001E0146	15.0502205829971	1	NAMRIL	Z001
Z001E0147	17.1338376893803	1	NAMRIL	Z001
Z001E0148	15.0502205829976	1	NAMRIL	Z001
Z001E0149	17.9463376893796	1	NAMRIL	Z001
Z001E0150	15.0502205829987	1	NAMRIL	Z001
Z001E0151	14.4660359260432	1	NAMRIL	Z001
Z001E0152	13.6930777258548	1	NAMRIL	Z001
Z001E0153	13.0502205829961	1	NAMRIL	Z001
Z001E0154	13.9787920115705	1	NAMRIL	Z001
Z001E0155	14.5283402059197	1	NAMRIL	Z001
Z001E0156	14.7588376893827	1	NAMRIL	Z001
Z001E0157	16.6216491544266	1	NAMRIL	Z001
Z001E0158	12.1930777258559	1	NAMRIL	Z001
Z001E0159	13.9787920115692	1	NAMRIL	Z001
Z001E0160	13.9660359260428	1	NAMRIL	Z001
Z001E0161	15.6138099026053	1	NAMRIL	Z001
Z001E0162	13.4099070100728	1	NAMRIL	Z001
Z001E0163	14.1599070100743	1	NAMRIL	Z001
Z001E0164	12.7397999277875	1	NAMRIL	Z001
Z001E0165	14.7879104271881	1	NAMRIL	Z001
Z001E0166	13.2553911195278	1	NAMRIL	Z001
Z001E0167	16.6338376893825	1	NAMRIL	Z001
Z001E0168	14.1930777258572	1	NAMRIL	Z001
Z001E0169	14.1205050674037	1	NAMRIL	Z001
Z001E0170	17.1507724588626	1	NAMRIL	Z001
Z001E0171	17.6327025927087	1	NAMRIL	Z001
Z001E0172	16.7645062972844	1	NAMRIL	Z001
Z001E0173	13.9307675700458	1	NAMRIL	Z001
Z001E0174	17.9073634401393	1	NAMRIL	Z001
Z001E0175	15.5765736767403	1	NAMRIL	Z001
Z001E0176	16.1338376893805	1	NAMRIL	Z001
Z001E0177	17.5207296729595	1	NAMRIL	Z001
Z001E0178	14.1338376893816	1	NAMRIL	Z001
Z001E0179	16.3413140956557	1	NAMRIL	Z001
Z001E0180	16.88383768938	1	NAMRIL	Z001
Z001E0181	16.4787920115705	1	NAMRIL	Z001
Z001E0182	16.5138099026036	1	NAMRIL	Z001
Z001E0183	15.6327025927101	1	NAMRIL	Z001
Z001E0184	15.7588376893806	1	NAMRIL	Z001
Z001E0185	15.1573634401428	1	NAMRIL	Z001
Z001E0186	14.7588376893797	1	NAMRIL	Z001
Z001E0187	15.3213376893825	1	NAMRIL	Z001
Z001E0188	15.050220582996	1	NAMRIL	Z001
Z001E0189	14.5765736767392	1	NAMRIL	Z001
Z001E0190	15.5969427849299	1	NAMRIL	Z001
Z001E0191	14.7588376893806	1	NAMRIL	Z001
Z001E0192	15.6450532843289	1	NAMRIL	Z001
Z001E0193	15.4099070100754	1	NAMRIL	Z001
Z001E0194	13.8930720216046	1	NAMRIL	Z001
Z001E0195	13.8359348687137	1	NAMRIL	Z001
Z001E0196	14.7993692593754	1	NAMRIL	Z001
Z001E0197	16.0502205829994	1	NAMRIL	Z001
Z001E0198	13.946337689382	1	NAMRIL	Z001
Z001E0199	12.9373963396245	1	NAMRIL	Z001
Z001E0200	16.4099070100752	1	NAMRIL	Z001
Z001E0201	17.2129428232963	1	NAMRIL	Z001
Z001E0202	13.3381973995131	1	NAMRIL	Z001
Z001E0262	13.1815028454674	1	NAMRIL	Z001
Z001E0274	13.1815028454677	1	NAMRIL	Z001
