Symbol,Citation,Gene Name,Identified by Phenotype,MaizeGDB Link,GenBank ID,Chromosome,Strand,B73 refgen2 Gene,Subgenome,Comments,Proofing Link,Local duplicates,Homeolog,Sorghum Ortholog,Setaria Ortholog,Rice Ortholog,Brachy Ortholog,Pan-grass panel Link,Gene Model IDed by MaizeSequence.org,UC-Berkeley vs. Maizesequence.org,Link to compare genes where our assignments differed,Analysis of disagreements between maizesequence.org and UC-Berkeley
wx1,176,waxy1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12768,X03935,chr9,-1,GRMZM2G024993,1,Good,http://genomevolution.org/r/25fq,,too big a gap,Sb10g002140,PAC:18197948,Os06g04200,Bradi1g50090,http://genomevolution.org/r/25fr,GRMZM2G024993,Identical Assignment,,
adh1,173,alcohol dehydrogenase1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12021,X00580,chr1,-1,GRMZM2G442658,1,Good,http://genomevolution.org/r/25yz,,chr5:7538263-8053554,Sb01g008730,chr1:5664436-6129105,chr3:30154185-30678637,chr1:6207197-6768216,http://genomevolution.org/r/26iy,GRMZM2G442658,Identical Assignment,,
o2,152,opaque endosperm2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12495,X15544,chr7,1,GRMZM2G015534,1,Good,http://genomevolution.org/r/25ek,,no synteny,Sb02g004590,PAC:18183040,Os07g08420,Bradi1g55450,http://genomevolution.org/r/26fa,GRMZM2G015534,Identical Assignment,,
p1,127,pericarp color1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12517,U57002,chr1,-1,GRMZM2G084799,1,3' UTR missing,http://genomevolution.org/r/25l8,,GRMZM2G022686,Sb01g037670,PAC:18191887,Os03g19120,Bradi1g64690,http://genomevolution.org/r/25l9,No Gene Identified by Maizesequence.org,NA,,
bz1,122,defective kernel1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12098,X07937,chr9,-1,GRMZM2G165390,1,Good,http://genomevolution.org/r/25u7,,chr6:106929789-107359808,Sb10g006140,PAC:18199108,Os06g09240,Bradi1g46850,http://genomevolution.org/r/25u8,GRMZM2G165390,Identical Assignment,,
sh1,122,shrunken1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12634,X02400,chr9,1,GRMZM2G089713,1,Extra 5' UTR in maizesequence.org,http://genomevolution.org/r/25m8,GRMZM2G090962||GRMZM2G090974,chr6:106929789-107521484,Sb10g006330,PAC:18198292,Os06g09450,Bradi1g46670,http://genomevolution.org/r/26gn,No Gene Identified by Maizesequence.org,NA,,
a1,112,anthocyaninless1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12000,X05068,chr3,-1,GRMZM2G026930,1,Good,http://genomevolution.org/r/25g6,,GRMZM2G013726,Sb03g028890,PAC:18178383,Os01g44260,Bradi2g44480,http://genomevolution.org/r/25g7,GRMZM2G472869,Different Assignment,http://genomevolution.org/r/26jl,"Two independent GenBank records for a1 hit the gene we identified. Noncoding sequence upstream of the annotated CDS in one genbank record also hits maizesequence.org gene model. Our gene is located on the correct chromosome per maizegdb locus page, maizesequence.org gene is not."
sh2,112,shrunken2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12635,M81603,chr3,-1,GRMZM2G429899,1,extra (coding)exons in maizesequence.org,http://genomevolution.org/r/25yt,,too big a gap,Sb03g028850,PAC:18179768,Os01g44220,chr2:44334929-45001469,http://genomevolution.org/r/26ix,GRMZM2G429899,Identical Assignment,,
c1,106,colored aleurone1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12101,X52201,chr9,-1,GRMZM2G005066,1,Missing 3' UTR in maizesequence.org,http://genomevolution.org/r/25da,,GRMZM2G701063,Sb10g006700,PAC:18198924,Os06g10350,chr1:44862834-45114808,http://genomevolution.org/r/26f5,No Gene Identified by Maizesequence.org,NA,,
r1,101,colored1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12621,X15806,chr10,1,GRMZM5G822829,2,Good||lc1,http://genomevolution.org/r/2614,,no synteny,Sb06g025060,PAC:18202973,Os04g47059,chr5:20758637-21209681,http://genomevolution.org/r/26j2,No Gene Identified by Maizesequence.org,NA,,
kn1,100,knotted1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12352,X61308,chr1,-1,GRMZM2G017087,1,Missing 5' UTR,http://genomevolution.org/r/25ey,,chr5:8463489-9295991,Sb01g009480,PAC:18190710,Os03g51690,Bradi1g10050,http://genomevolution.org/r/26fe,GRMZM2G017087,Identical Assignment,,
su1,83,sugary1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12664,U18908,chr4,1,GRMZM2G138060,2,Missing 5' coding region?,http://genomevolution.org/r/25ra,,too big a gap,Sb07g027200,PAC:18187070,Os08g40930,Bradi3g40410,http://genomevolution.org/r/25rb,No Gene Identified by Maizesequence.org,NA,,
b1,78,colored plant1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12065,X57276,chr2,1,GRMZM2G172795,1,Missing internal exon (gene model and pseudomolecule),http://genomevolution.org/r/25v7,,too big a gap,Sb06g025060,PAC:18202973,Os04g47059,chr5:20877277-21224959,http://genomevolution.org/r/26i8,No Gene Identified by Maizesequence.org,NA,,
bz2,72,bronze2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12099,U14599,chr1,-1,GRMZM2G016241,1,Good,http://genomevolution.org/r/25eq,,too big a gap,Sb01g022080,PAC:18193433,chr10:13445230-14195619,chr3:26596665-27487768,http://genomevolution.org/r/26fc,GRMZM2G016241,Identical Assignment,,
c2,69,colorless2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12102,X60205,chr4,1,GRMZM2G422750,1,Good,http://genomevolution.org/r/25yp,,GRMZM5G818346,Sb05g020150,PAC:18202072,Os11g32650,no synteny,http://genomevolution.org/r/25yq,GRMZM2G422750,Identical Assignment,,
pl1,65,purple plant1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12553,AF015268,chr6,1,GRMZM2G701063,2,Good,http://genomevolution.org/r/25zn,,GRMZM2G005066,Sb10g006700,PAC:18198924,Os06g10350,chr1:44356779-45000135,http://genomevolution.org/r/26j1,No Gene Identified by Maizesequence.org,NA,,
vp1,62,viviparous1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12731,M60214,chr3,1,GRMZM2G133398,1,Good,http://genomevolution.org/r/25qy,,chr8:162794487-163499666,Sb03g043480,PAC:18176590,Os01g68370,Bradi2g58390,http://genomevolution.org/r/26hh,GRMZM2G133398,Identical Assignment,,
adh2,57,alcohol dehydrogenase2,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12022,X02915,chr4,-1,GRMZM2G098346,1,Good,http://genomevolution.org/r/25nc,,no synteny,Sb05g009360,PAC:18200336,Os11g10480,Bradi4g22610,http://genomevolution.org/r/26gv,GRMZM2G098346,Identical Assignment,,
ae1,55,amylose extender1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12028,L08065,chr5,,GRMZM2G032628,1,Good,http://genomevolution.org/r/25gk,,GRMZM2G073054,Sb04g021540,PAC:18174084,Os02g32660,Bradi3g44760,http://genomevolution.org/r/25gl,GRMZM2G039942,Different Assignment,http://genomevolution.org/r/26jn,"Two independent GenBank records for ae1 hit the gene we identified. 3' non-coding sequence from one GenBank record hits near but not on the maizesequence.org. The location of our gene agrees with the genetic location of ae1 on its maizegdb locus page, maizesequence.org gene does not."
bt2,49,brittle endosperm2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12092,AF544167,chr4,-1,GRMZM2G068506,2,Good|potentially missing upstream exons,http://genomevolution.org/r/25jm,,no synteny,too big a gap,no synteny,no synteny,no synteny,http://genomevolution.org/r/25jn,No Gene Identified by Maizesequence.org,NA,,
fl2,44,floury2,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12225,L34340,chr4,-1,GRMZM2G397687,1,Good,http://genomevolution.org/r/25y3,GRMZM2G397678,no synteny,too big a gap,too big a gap,too big a gap,too big a gap,http://genomevolution.org/r/25y4,No Gene Identified by Maizesequence.org,NA,,
sus1,44,sucrose synthase1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=41166,L33244,chr9,-1,GRMZM2G152908,2,Good,http://genomevolution.org/r/25sp,,too big a gap,Sb01g033060,PAC:18195129,Os03g28330,Bradi1g60320,http://genomevolution.org/r/25sq,GRMZM2G152908,Identical Assignment,,
bt1,43,brittle endosperm1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12091,M79333,chr5,-1,GRMZM2G144081,1,Good,http://genomevolution.org/r/25rv,,no synteny,Sb04g007010,no synteny,no synteny,no synteny,http://genomevolution.org/r/25rw,No Gene Identified by Maizesequence.org,NA,,
pep1,42,phosphoenolpyruvate carboxylase1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12531,X15238,chr9,1,GRMZM2G083841,1,Good,http://genomevolution.org/r/25l4,,no synteny,Sb10g021330,PAC:18197862,chr6:19969223-20504683,no synteny,http://genomevolution.org/r/26gf,No Gene Identified by Maizesequence.org,NA,,
vp5,42,viviparous5,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12733,AF039585,chr1,1,GRMZM2G410515,1,Can't proof,http://genomevolution.org/r/25yh,,chr9:149683440-150053631,Sb01g044990,PAC:18194286,Os03g08570,Bradi1g72400,http://genomevolution.org/r/26iu,No Gene Identified by Maizesequence.org,NA,,
an1,40,anther ear1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12048,L37750,chr1,1,GRMZM2G081554,1,Good,http://genomevolution.org/r/25kq,,chr5:33845722-34752323,Sb01g021990,PAC:18194042,chr10:13517249-14258420,too big a gap,http://genomevolution.org/r/26ga,No Gene Identified by Maizesequence.org,NA,,
cat1,38,catalase1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12108,X60135,chr5,1,GRMZM2G088212,1,Good,http://genomevolution.org/r/25m4,,AC187409.4_FG008,Sb10g030840,PAC:18197582,Os06g51150,Bradi1g29800,http://genomevolution.org/r/25m5,No Gene Identified by Maizesequence.org,NA,,
cat3,37,catalase3,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12110,L05934,chr4,1,GRMZM2G079348,2,Good,http://genomevolution.org/r/25ki,,too big a gap,Sb04g001130,PAC:18174069,Os02g02400,Bradi3g01470,http://genomevolution.org/r/25kj,No Gene Identified by Maizesequence.org,NA,,
glu1,37,beta glucosidase1,,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12268,U33816,chr10,1,GRMZM2G016890,1,Good,http://genomevolution.org/r/25eu,GRMZM2G014844||GRMZM2G119460,no synteny,Sb08g007586,no synteny,no synteny,no synteny,http://genomevolution.org/r/25ev,GRMZM2G016890,Identical Assignment,,
tb1,37,teosinte branched1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12671,U94494,chr1,1,AC233950.1_FG002,1,Good,http://genomevolution.org/r/25ce,,GRMZM2G324986,Sb01g010690,PAC:18193228,Os03g49880,Bradi1g11060,http://genomevolution.org/r/26f1,AC233950.1_FG002,Identical Assignment,,
gl1,36,glossy1,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12242,U37428,chr7,1,GRMZM2G114642,1,Good,http://genomevolution.org/r/25p8,,no synteny,Sb02g025220,PAC:18181405,Os09g25850,Bradi4g30750,http://genomevolution.org/r/25p9,GRMZM2G114642,Identical Assignment,,
bm3,34,brown midrib3,Y,http://www.maizegdb.org/cgi-bin/displaylocusrecord.cgi?id=12081,M73235,chr4,-1,AC196475.3_FG004,2,Good,http://genomevolution.org/r/25bq,,too big a gap,Sb07g003860,PAC:18186460,Os08g06100,Bradi3g16530,http://genomevolution.org/r/262i,No Gene Identified by Maizesequence.org,NA,,
