marker,Locus,ch,interval,cumulative,marker,,,,,,
PZA01271.1,L00411,1,0.9,0,m0001,,,,,,
PZA03613.1,L00848,1,2.8,0.9,m0002,,,,,,
PZA02129.1,L00569,1,1.4,3.7,m0003,,,,,,
PZA02032.1,L00549,1,4.6,5.1,m0004,,,,,,
PHM2244.142,L00068,1,1.8,9.7,m0005,,,,,,
PZA02372.1,L01129,1,1.9,11.5,m0006,,,,,,
PHM6238.36,L01003,1,2.2,13.4,m0007,,,,,,
PZA00181.2,L00196,1,0,15.6,m0008,,,,,,
PZA00528.1,L00285,1,0.6,15.6,m0009,,,,,,
PZA00175.2,L00195,1,1.2,16.2,m0010,,,,,,
PZA00447.8,L00261,1,0.5,17.4,m0011,,,,,,
PZA02284.1,L00609,1,0,17.9,m0012,,,,,,
PZA00731.7,L00315,1,1.7,17.9,m0013,,,,,,
PZA00566.5,L00288,1,0.5,19.6,m0014,,,,,,
PZA00106.10,L00181,1,0,20.1,m0015,,,,,,
PZA03521.1,L00822,1,1.8,20.1,m0016,,,,,,
PZA00887.1,L00346,1,2.5,21.9,m0017,,,,,,
PZA03551.1,L00828,1,5.3,24.4,m0018,,,,,,
PZA01497.1,L00454,1,0,29.7,m0019,,,,,,
csu1171.2,L00955,1,0.2,29.7,m0020,,,,,,
PZA01652.1,L00474,1,1.8,29.9,m0021,,,,,,
PZA02094.9,L01110,1,1.4,31.7,m0022,,,,,,
PZA02393.2,L00631,1,0.8,33.1,m0023,,,,,,
PZB00648.5,L00890,1,0,33.9,m0024,,,,,,
PZB00718.5,L00891,1,0.4,33.9,m0025,,,,,,
PZA01030.1,L00371,1,3.5,34.3,m0026,,,,,,
PZA00425.11,L00254,1,1.4,37.8,m0027,,,,,,
PHM13619.5,L00028,1,0.3,39.2,m0028,,,,,,
PZA02487.1,L00658,1,0,39.5,m0029,,,,,,
PHM3226.15,L00085,1,0.2,39.5,m0030,,,,,,
PHM4531.46,L00108,1,3.5,39.7,m0031,,,,,,
PZB01957.1,L00929,1,4.1,43.2,m0032,,,,,,
PZB02058.1,L01185,1,4.4,47.3,m0033,,,,,,
PZA02490.1,L00659,1,2.3,51.7,m0034,,,,,,
PZA01348.1,L01075,1,0,54,m0035,,,,,,
PZB01662.1,L00926,1,0,54,m0036,,,,,,
PZA01455.1,L00445,1,0,54,m0037,,,,,,
PZA02686.1,L00698,1,2.5,54,m0038,,,,,,
PZA02271.1,L00604,1,0.7,56.5,m0039,,,,,,
PZA02195.1,L01116,1,1.8,57.2,m0040,,,,,,
PZA00240.6,L01015,1,0,59,m0041,,,,,,
PHM3726.129,L00095,1,0.9,59,m0042,,,,,,
PZA00962.1,L00363,1,0.9,59.9,m0043,,,,,,
PZA02376.1,L00624,1,0,60.8,m0044,,,,,,
PZA03742.1,L00874,1,0,60.8,m0045,,,,,,
PZA03243.2,L00791,1,0.8,60.8,m0046,,,,,,
PZA00081.18,L00174,1,0.5,61.6,m0047,,,,,,
umc13.1,L01187,1,0,62.1,m0048,,,,,,
PZA03183.5,L00773,1,0.2,62.1,m0049,,,,,,
PZB00872.3,L00898,1,2.6,62.3,m0050,,,,,,
PHM4913.18,L00116,1,0.8,64.9,m0051,,,,,,
PZA02292.1,L01123,1,0.3,65.7,m0052,,,,,,
PZA03168.5,L00769,1,3.1,66,m0053,,,,,,
PZA02737.1,L00707,1,0.3,69.1,m0054,,,,,,
PZA02550.1,L00669,1,0.2,69.4,m0055,,,,,,
