chr,LOD,genetic,physical,h2,effect,interval_Mb,interval_cM,LeftCI_pos,RightCI_pos,trait,pop
1,3.3,52.7,32578218,4.8,-0.684,19.3,13.1,26202944,45513415,KRN,B97
2,3.6,67.9,40503046,5.9,0.72,123.8,19.7,27869268,151638671,KRN,B97
5,3.7,30.8,9329640,5.3,0.68,8.5,19.5,3538875,12038114,KRN,B97
5,5.9,74.5,158686956,9.5,0.903,76.6,9.1,91814175,168463281,KRN,B97
5,4.4,134.6,211177741,10.2,-1.065,7.1,15.7,208745928,215833640,KRN,B97
8,4.6,102.3,166079060,8,-0.858,5.5,13.7,162756335,168277887,KRN,B97
1,3.2,164.6,273305618,4.7,-7.569,224.6,103.8,55071238,279682238,TKW,B97
1,4.2,177.5,284010510,6.2,-8.955,5.9,4.2,281206812,287063457,TKW,B97
6,3.9,47.3,124805125,5.1,8.072,36.1,11.5,102823165,138931644,TKW,B97
6,3.5,56.6,144566010,3.2,6.338,6.3,2.4,140913988,147224252,TKW,B97
10,6,35.8,25976272,7.7,9.665,59.3,3.7,13493461,72807075,TKW,B97
10,4.8,43.8,106952925,6.5,8.961,30.5,5.1,87084632,117566331,TKW,B97
1,3.7,164.6,273305618,5.5,-11.77,22.5,20,257186525,279682238,KC,B97
1,4.4,177.5,284010510,5.1,-11.88,6.5,4.5,281206812,287728786,KC,B97
6,4.3,45.7,123770193,6.9,13.208,34.3,11.1,102823165,137079554,KC,B97
10,4,35.8,25976272,4.1,10.553,89.6,17.5,9401386,98999036,KC,B97
1,4.7,89.3,120194613,12.6,-1.374,219,102,22253283,241222820,CD,B97
3,3.4,120.4,209735573,1.4,0.558,72.9,66,144813965,217695856,CD,B97
4,10.6,47.7,24613495,18.3,1.629,41.6,8.3,17330826,58956243,CD,B97
5,4.5,37.5,11502381,2.3,0.619,6.6,13,8508510,15138119,CD,B97
1,4.8,89.3,120194613,7.4,-2.264,119.6,23,64239480,183802036,CW,B97
1,3.9,147.9,253029622,4.2,1.759,28,14,228563313,256513832,CW,B97
2,3.5,102.9,190159942,2.9,1.538,26.8,20,182727562,209497851,CW,B97
4,3.5,57.7,86504397,6.3,2.094,141.7,20.1,17330826,159073222,CW,B97
5,3.1,8.2,2707750,1.9,1.227,21.2,50.8,656148,21892861,CW,B97
1,5.4,43.2,26202944,13.3,10.011,10.3,11.9,22253283,32578218,CL,B97
9,3.5,52.9,107625055,6,-6.659,40.4,14.9,88651842,129011584,CL,B97
1,6.4,47.2,26202944,5.8,-0.857,12.1,11.6,22596124,34673143,KRN,CML103
3,7.9,91.1,180504690,9.6,1.052,11.4,8.1,175559060,187005816,KRN,CML103
4,10.9,110.6,210690738,16.2,1.394,34.7,8.1,197072849,231727757,KRN,CML103
7,3.4,36.4,6540311,4.3,-0.739,45,17.2,6065421,51039765,KRN,CML103
9,3.4,103,151720455,6.7,0.909,5.7,20.9,147377897,153037306,KRN,CML103
3,4.8,80.3,170110387,5,-0.021,17.4,11,158896370,176295169,AKW,CML103
6,4.6,43.1,117104582,6.6,-0.023,28.3,7.5,102823165,131157670,AKW,CML103
3,3.2,77.4,167473009,3.5,0.834,30.8,22.5,149241189,179994880,CD,CML103
4,4.2,139.1,239099604,6.6,1.097,3,9.9,236407422,239370714,CD,CML103
5,5.2,63,60002766,10.8,1.416,42.8,5.6,39192429,81950336,CD,CML103
5,5.1,72.5,145869341,8.7,1.255,76.7,5.5,81950336,158686956,CD,CML103
6,4,61.4,148634319,12.6,-1.481,22.3,9.3,132064240,154345567,CD,CML103
3,3.4,152.4,229252099,4.5,2.451,8.7,14,221435924,230181537,CW,CML103
5,3.6,63.5,61672051,6.7,3.093,127.1,16.8,32227047,159288407,CW,CML103
6,5.1,33.4,110606988,7.3,-3.123,16.2,10.4,102411759,118604616,CW,CML103
6,7.4,45.7,123770193,13.4,-4.16,22.3,9.9,120136318,142454079,CW,CML103
7,3.5,26.3,6065421,5.9,2.936,12.4,15.8,775637,13174365,CW,CML103
1,10.1,152.4,257186525,14.5,-12.171,4.7,3.6,256489030,261177751,CL,CML103
1,8.5,164.6,273305618,14.7,-12.098,13,7.8,263200803,276209661,CL,CML103
7,3.6,88.2,148850405,4.9,7.307,21.7,23.3,143410022,165102982,CL,CML103
4,13.4,107.9,199076697,20.5,1.323,18.2,3.6,197072849,215267112,KRN,CML228
4,13.8,114.5,220606809,17.3,1.214,15.1,4.6,216608367,231727757,KRN,CML228
4,5.5,126.5,235165898,19.5,1.299,2.8,5.7,233627802,236407422,KRN,CML228
5,3.7,72.5,145869341,4.6,0.654,92.5,10.7,75935660,168463281,KRN,CML228
8,5.9,49.6,22392980,7.8,-0.83,40.5,8.1,18052074,58534317,KRN,CML228
8,3.3,82.3,156724363,6.5,-0.812,18.6,11.4,141599772,160240426,KRN,CML228
8,3.4,91.3,162756335,12.2,-1.065,5.2,9,160240426,165411485,KRN,CML228
1,3.3,123.7,212951055,2.3,6.65,23,16.4,204259694,227227502,TKW,CML228
1,3.7,181.3,287063457,3.3,-8.104,7.4,10,285650152,293041693,TKW,CML228
3,4.5,121.7,211720827,8.5,12.162,11.7,12.9,204153246,215849898,TKW,CML228
1,3.7,180,286359263,3.7,-0.013,16.2,13.2,273305618,289547937,AKW,CML228
3,5,121.7,211720827,8.6,16.794,7.4,6.8,208472941,215849898,KC,CML228
4,3.7,108.7,201462955,7.2,15.214,30.7,12.7,184547096,215267112,KC,CML228
2,4.4,49.8,19917977,7.6,-1.233,6.5,10.1,15580132,22069205,CD,CML228
4,13.4,118.4,231727757,24.9,2.198,19.8,13.7,216608367,236407422,CD,CML228
4,7.5,116.1,230190074,12.3,4.41,16.3,5.2,216608367,232940724,CW,CML228
6,3.3,12.4,84787343,2.1,-2.034,54.5,10,38269597,92813618,CW,CML228
1,7.4,39.2,22253283,10.2,12.053,6.3,5.4,16581396,22892866,CL,CML228
1,4.2,157.1,262720121,7.8,-9.744,73.8,49.8,195557990,269322794,CL,CML228
1,4.1,188.2,291862723,6.8,-8.513,6.1,9.5,287063457,293150895,CL,CML228
2,3.6,5.7,2540045,7,8.623,4.7,14.5,1094394,5832980,CL,CML228
2,4.9,77.1,124057780,5,-7.638,125.1,11.6,48109181,173250593,CL,CML228
10,4.3,43.8,106952925,5.6,-7.834,30.7,5.4,87270380,117991482,CL,CML228
10,3.9,50.2,124873271,2.9,-6.288,12.8,5.3,117991482,130823780,CL,CML228
2,3.7,58.8,27869268,3.8,0.71,10.8,8.8,20122898,30906065,KRN,CML247
3,5.3,51.2,21368486,3.6,0.659,18.5,3.5,9806074,28334398,KRN,CML247
3,5.5,60.5,127448234,4.5,0.761,115.3,10,32411529,147676950,KRN,CML247
4,6.7,14.2,3890893,11.7,1.254,8.5,18.1,1255685,9759854,KRN,CML247
4,13.7,110.6,210690738,20.5,1.593,28.2,8.3,188385744,216608367,KRN,CML247
4,9.9,123.8,233845017,15.5,1.456,2.5,4,233627802,236111113,KRN,CML247
7,3.7,43.9,17520294,4.6,-0.773,15.9,7.5,6065421,22015062,KRN,CML247
7,3.9,52.2,106754355,4.7,-0.802,105.1,12.4,22015062,127149079,KRN,CML247
9,3.6,98.2,150813145,3.1,-0.646,4.1,9.2,147377897,151478943,KRN,CML247
10,4.6,49.2,124873271,2.9,0.62,20.8,7.1,111779138,132620909,KRN,CML247
4,3.5,32.6,11389227,8.4,10.025,13.6,16.6,6601333,20200808,TKW,CML247
5,3.7,66,73132746,6.5,0.018,66.1,14.5,23265300,89318174,AKW,CML247
7,5,43.9,17520294,7.4,0.019,15.9,17.4,6065421,22015062,AKW,CML247
7,4,53.2,106754355,7.3,0.02,105.1,14.8,22015062,127149079,AKW,CML247
4,3.2,0,1255685,12.1,20.658,2.6,11.2,1255685,3890893,KC,CML247
2,7.2,11,3606091,11.8,-1.559,3,10.1,2805975,5832980,CD,CML247
2,7,29.2,9962933,9.4,-1.38,6.8,16.5,5832980,12644166,CD,CML247
4,5.6,53.7,37348608,15.7,1.774,30,2.4,35918862,65958274,CD,CML247
4,5,58.8,133926556,17,1.858,82.4,4.2,66909481,149276923,CD,CML247
4,4.9,67.9,155907930,15.8,1.784,16.4,5.9,150464488,166911503,CD,CML247
6,5.9,6.9,31412258,7,-1.213,68.7,6.8,9498146,78199931,CD,CML247
4,12.6,53.7,37348608,27.1,5.647,36.8,3.4,29170943,65958274,CW,CML247
2,6.4,69.4,43558423,10.2,-8.171,72.6,12.1,34567551,107189471,CL,CML247
2,4.6,84.2,173781914,8.1,-7.28,14.2,2.7,164723190,178879539,CL,CML247
4,3.4,64,150464488,1.7,3.692,219.4,82.6,17330826,236701272,CL,CML247
5,3.6,110.3,203314769,6.5,6.48,8.3,13.5,199380293,207708797,CL,CML247
8,3.7,103.7,167092992,3.4,4.872,9,25.5,161839774,170807917,CL,CML247
9,3.5,64.5,133919472,5.4,-6.03,16.9,23,128457261,145347369,CL,CML247
1,3.9,186,289547937,4.6,0.682,31.9,34.9,261177751,293041693,KRN,CML277
1,3.3,197.2,295762684,5.1,0.739,3.9,7.5,293041693,296891802,KRN,CML277
2,6.6,70.4,47158891,11.1,1.039,106.8,9.9,40503046,147310722,KRN,CML277
4,3.6,52.1,34017442,7.5,0.838,138.6,20.3,17330826,155907930,KRN,CML277
4,9.8,116.1,230190074,18.7,1.326,18.6,10.1,216608367,235165898,KRN,CML277
8,3.5,20.3,6705839,3.2,-5.974,7.3,19.3,4176433,11504467,TKW,CML277
2,6.3,67.9,40503046,14.1,-0.028,21.8,10.6,25310110,47158891,AKW,CML277
1,3.3,33.9,17666998,5.9,-1.098,202.9,101.6,10096012,212951055,CD,CML277
1,4,185,289547937,4.3,0.944,13.7,19.2,281709021,295427860,CD,CML277
4,10.7,52.8,35918862,17.5,1.83,42.9,4.6,29170943,72052851,CD,CML277
4,3.9,113.5,220606809,8.3,1.293,19,6.3,212747880,231727757,CD,CML277
4,3.6,124.5,235165898,9.9,1.396,5,10.2,231727757,236701272,CD,CML277
6,4.9,6.1,24611553,7.2,-1.204,23.5,2.8,9498146,32969549,CD,CML277
6,5,11.3,81693128,6.6,-1.17,62.6,14.5,32969549,95604950,CD,CML277
1,4.9,88.6,107365735,14.1,-3.797,86.6,5.7,88998955,175642801,CW,CML277
4,4,47.7,24613495,7.5,2.777,34.6,13.2,15299213,49917660,CW,CML277
4,3.2,58.8,133926556,8.5,3.069,69.8,3.3,79448096,149276923,CW,CML277
2,6,67.9,40503046,7.9,-8.603,17.5,7.2,29679728,47158891,CL,CML277
2,5.6,75.8,62924337,6.4,-7.851,103,7.3,48665321,151638671,CL,CML277
3,3.7,134.6,219697823,4.9,6.845,9.5,15.7,215849898,225307987,CL,CML277
4,4.9,56.5,72052851,3.8,5.982,126.7,10,29170943,155907930,CL,CML277
1,5.7,124.2,213152330,5.6,-0.821,18.8,10.7,204259694,223034951,KRN,CML322
3,4.2,88.6,176295169,13.2,1.219,18.1,15.7,173473417,191612808,KRN,CML322
4,10.3,108.3,200539283,15.5,1.344,17.5,3.5,199076697,216608367,KRN,CML322
